年度,県コード,連番,県番号,調査年月日,is_overflow,学名,和名,個体数,湿重量_g,Year,Month,Season,学名_clean
2003,12.0,2,3,2003-08-05,False,ACTINIARIA,ｲｿｷﾞﾝﾁｬｸ目,1.0,0.07,2003.0,8.0,Summer,ACTINIARIA
2003,12.0,2,3,2003-08-05,False,Mercenaria mercenaria,ﾎﾝﾋﾞﾉｽｶﾞｲ,1.0,0.005,2003.0,8.0,Summer,Mercenaria mercenaria
2003,12.0,2,3,2003-08-05,False,Sigambra tentaculata,,13.0,0.02,2003.0,8.0,Summer,Sigambra tentaculata
2003,12.0,2,3,2003-08-05,False,Nectoneanthes latipoda,,1.0,0.005,2003.0,8.0,Summer,Nectoneanthes latipoda
2003,12.0,2,3,2003-08-05,False,Lumbrineris longifolia,,7.0,0.01,2003.0,8.0,Summer,Lumbrineris longifolia
2003,12.0,2,3,2003-08-05,False,Paraprionospio sp.(A型),,65.0,0.67,2003.0,8.0,Summer,Paraprionospio sp.(A型)
2003,12.0,2,3,2003-08-05,False,Prionospio pulchra,,1.0,0.005,2003.0,8.0,Summer,Prionospio pulchra
2003,12.0,2,3,2003-08-05,False,Mediomastus sp.,,9.0,0.01,2003.0,8.0,Summer,Mediomastus sp.
2003,12.0,2,3,2003-08-05,False,OLIGOCHAETA,ﾐﾐｽﾞ綱,1.0,0.01,2003.0,8.0,Summer,OLIGOCHAETA
2003,12.0,2,3,2003-08-05,False,Phoronis sp.,,1.0,0.02,2003.0,8.0,Summer,Phoronis sp.
2003,12.0,2,3,2004-02-03,True,POLYCLADIDA,ﾋﾗﾑｼ目,1.0,0.005,2004.0,2.0,Winter,POLYCLADIDA
2003,12.0,2,3,2004-02-03,True,NEMERTINEA,紐形動物門,1.0,0.01,2004.0,2.0,Winter,NEMERTINEA
2003,12.0,2,3,2004-02-03,True,Crepidula onyx,ｼﾏﾒﾉｳﾌﾈｶﾞｲ,7.0,0.73,2004.0,2.0,Winter,Crepidula onyx
2003,12.0,2,3,2004-02-03,True,Scapharca subcrenata,ｻﾙﾎﾞｳｶﾞｲ,7.0,0.9,2004.0,2.0,Winter,Scapharca subcrenata
2003,12.0,2,3,2004-02-03,True,Raeta pulchellus,ﾁﾖﾉﾊﾅｶﾞｲ,3.0,0.03,2004.0,2.0,Winter,Raeta pulchellus
2003,12.0,2,3,2004-02-03,True,Mercenaria mercenaria,ﾎﾝﾋﾞﾉｽｶﾞｲ,37.0,16.78,2004.0,2.0,Winter,Mercenaria mercenaria
2003,12.0,2,3,2004-02-03,True,Phacosoma japonicum,ｶｶﾞﾐｶﾞｲ,4.0,0.08,2004.0,2.0,Winter,Phacosoma japonicum
2003,12.0,2,3,2004-02-03,True,PETRICOLIDAE,ｲﾜﾎﾘｶﾞｲ科,1.0,0.33,2004.0,2.0,Winter,PETRICOLIDAE
2003,12.0,2,3,2004-02-03,True,Eumida sp.,,9.0,0.05,2004.0,2.0,Winter,Eumida sp.
