uniqueid,zettaicode,locationna,wancode,prefectuei,watercode,renban,nendo,survey_ym,surveyyear,surveymont,surveyday,saisuipoin,saisuidept,latitude,longitude,dataflag,scale,wtemp,depth,region,year_folder,is_near_anoxic,Season,do_2,salt2,ph2,toc2,tn2,tp2,cod2,nh4n2,no2n2,no3n2,po4p2,chloroph_1,feiochin2,doc2
0000000005,00000122,千葉県2,01,12,100,2,1978,1978-06-01,1978,6,1,2,3.5,35.64722222,139.99,1,-1,17.2,4.5,Tokyo,1978,False,Summer,2.5,32.12,7.9,0.0,4.176,0.1796,2.4,0.7869,0.0196,0.448,0.1282,0.4,0.0,0.0
0000000007,00000122,千葉県2,01,12,100,2,1978,1978-09-01,1978,11,8,2,2.5,35.64722222,139.99,1,-1,16.0,4.5,Tokyo,1978,False,Other,7.9,31.94,8.1,0.0,2.195,0.1022,5.1,0.2156,0.0532,0.2436,0.0883,0.3,0.0,0.0
0000000008,00000122,千葉県2,01,12,100,2,1978,1978-12-01,1979,2,5,2,4.7,35.64722222,139.99,1,-1,8.2,6.7,Tokyo,1978,False,Winter,7.8,31.31,8.1,0.0,2.027,0.0743,2.9,0.2954,0.0476,0.3164,0.0542,0.6,0.0,0.0
0000000405,00000122,千葉県2,01,12,100,2,1979,1979-03-01,1979,5,21,2,5.0,35.64722222,139.99,1,-1,16.9,6.0,Tokyo,1979,False,Other,5.8,29.46,8.3,0.0,1.345,0.1704,7.4,0.0252,0.0434,0.2324,0.079,15.0,34.2,0.0
0000000406,00000122,千葉県2,01,12,100,2,1979,1979-06-01,1979,7,26,2,5.0,35.64722222,139.99,1,-1,23.7,6.0,Tokyo,1979,False,Summer,6.1,28.81,8.6,0.0,1.784,0.1611,6.8,0.0042,0.0364,0.0546,0.1019,33.4,50.0,0.0
0000000407,00000122,千葉県2,01,12,100,2,1979,1979-09-01,1979,11,8,2,5.0,35.64722222,139.99,1,-1,19.4,6.0,Tokyo,1979,False,Other,6.2,30.96,8.2,0.0,1.107,0.1022,3.9,0.1652,0.0336,0.1862,0.0759,10.8,18.3,0.0
0000000408,00000122,千葉県2,01,12,100,2,1979,1979-12-01,1980,2,5,2,5.0,35.64722222,139.99,1,-1,8.3,6.0,Tokyo,1979,False,Winter,10.0,30.87,8.1,0.0,1.39,0.0991,3.2,0.0742,0.0532,0.3052,0.0589,25.7,10.5,0.0
0000000795,00000122,千葉県2,01,12,100,2,1980,1980-03-01,1980,5,6,2,5.0,35.64722222,139.99,1,-1,17.5,6.0,Tokyo,1980,False,Other,9.6,28.87,8.5,0.0,1.259,0.114,7.2,0.085,0.064,0.281,0.044,45.7,11.6,0.0
0000000796,00000122,千葉県2,01,12,100,2,1980,1980-06-01,1980,7,21,2,6.0,35.64722222,139.99,1,-1,23.2,7.0,Tokyo,1980,False,Summer,3.3,28.63,8.8,0.0,1.45,0.178,8.8,0.015,0.012,0.023,0.11,29.3,113.6,0.0
0000000797,00000122,千葉県2,01,12,100,2,1980,1980-09-01,1980,11,4,2,5.0,35.64722222,139.99,1,-1,16.0,6.0,Tokyo,1980,False,Other,7.0,30.75,8.0,0.0,0.934,0.093,2.3,0.134,0.022,0.341,0.073,6.0,3.9,0.0
0000000798,00000122,千葉県2,01,12,100,2,1980,1980-12-01,1981,2,2,2,5.0,35.64722222,139.99,1,-1,7.2,6.0,Tokyo,1980,False,Winter,9.5,31.89,8.0,0.0,1.357,0.093,2.5,0.117,0.054,0.334,0.058,4.6,7.8,0.0
0000001189,00000122,千葉県2,01,12,100,2,1981,1981-03-01,1981,5,11,2,5.0,35.64722222,139.99,1,-1,16.5,6.0,Tokyo,1981,False,Other,8.2,29.14,8.4,6.1,1.405,0.114,7.5,0.1,0.053,0.282,0.052,59.7,16.1,0.0
0000001190,00000122,千葉県2,01,12,100,2,1981,1981-06-01,1981,7,20,2,5.0,35.64722222,139.99,1,-1,29.0,6.0,Tokyo,1981,False,Summer,3.7,26.29,8.5,4.5,1.651,0.246,8.0,0.267,0.021,0.088,0.136,8.9,0.0,0.0
0000001191,00000122,千葉県2,01,12,100,2,1981,1981-09-01,1981,11,4,2,5.0,35.64722222,139.99,1,-1,19.4,6.0,Tokyo,1981,False,Other,2.4,31.56,7.7,0.0,0.669,0.104,2.7,0.115,0.033,0.249,0.085,1.9,0.0,0.0
0000001192,00000122,千葉県2,01,12,100,2,1981,1981-12-01,1982,2,1,2,6.0,35.64722222,139.99,1,-1,7.2,7.0,Tokyo,1981,False,Winter,12.0,31.7,8.2,0.0,1.232,0.08,4.6,0.286,0.053,0.289,0.05,23.0,6.1,0.0
0000002621,00000122,千葉県2,01,12,100,2,1982,1982-03-01,1982,5,17,2,5.0,35.64722222,139.99,1,-1,20.1,6.0,Tokyo,1982,False,Other,5.0,27.59,8.3,0.0,1.54,0.129,6.3,0.185,0.06,0.216,0.049,9.7,4.7,0.0
0000002622,00000122,千葉県2,01,12,100,2,1982,1982-06-01,1982,7,27,2,5.0,35.64722222,139.99,1,-1,20.2,6.0,Tokyo,1982,False,Summer,0.3,30.28,8.0,0.0,1.36,0.164,3.8,0.39,0.019,0.084,0.132,5.3,3.1,0.0
