zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000272,6.2,3.9,3.4,5.3,2.6,3.8,5.2,2.3,3.7,2.9,4.1,4.0,4.3,2.5,2.4,2.9,3.4,3.2,3.1,3.2,4.0,2.9,4.5,3.4,2.6,4.1,1.3,3.5,2.7,1.6,3.2,3.5,1.4,2.1,3.5,2.5,3.6,4.2,5.0,2.5,0.8,0.7,4.7
00000275,6.7,6.4,4.0,4.7,4.0,5.2,3.2,2.6,4.5,3.6,4.5,6.6,4.0,3.4,3.1,4.4,3.7,3.6,5.2,4.6,4.0,6.4,5.6,4.6,3.2,4.1,2.1,4.4,3.0,5.9,3.8,4.3,1.3,3.9,3.9,4.1,4.2,3.2,5.2,2.5,1.2,1.7,6.1
00002725,7.5,6.9,6.1,7.0,8.0,7.5,8.0,6.2,6.6,6.6,6.3,6.9,6.2,6.4,8.5,6.9,7.0,6.3,6.9,7.3,6.9,7.5,7.0,6.3,6.0,6.7,5.9,6.1,6.4,6.3,6.2,5.8,5.3,6.2,6.2,6.1,6.6,6.4,6.3,7.1,7.1,5.8,7.4
00002737,7.5,7.5,5.1,6.2,6.6,7.4,6.9,5.9,5.9,6.6,5.3,9.2,5.5,5.8,5.3,6.7,7.1,6.0,6.5,7.1,6.3,7.9,6.5,5.6,5.6,6.5,5.6,5.9,6.3,6.0,5.6,5.5,6.2,5.5,5.8,5.9,6.3,5.8,6.0,7.0,6.2,5.3,6.3
00002744,7.1,6.9,5.2,6.7,5.9,6.6,6.3,5.9,6.1,6.4,6.8,6.7,8.3,6.2,5.7,7.1,6.7,6.0,6.0,6.7,6.1,8.1,6.9,6.2,5.8,7.0,6.1,6.0,6.5,6.3,6.2,5.9,6.0,6.0,6.4,6.0,6.6,6.5,6.1,7.1,6.9,6.1,6.4
00002750,6.5,6.9,5.6,6.6,5.8,6.6,6.2,5.7,5.9,6.3,6.0,6.6,6.0,6.0,5.6,7.4,6.3,6.2,6.3,6.8,6.4,7.5,6.6,6.5,6.0,6.7,5.8,6.3,6.0,6.4,6.1,5.9,5.7,6.1,6.2,6.1,6.5,6.2,6.3,7.2,6.6,5.9,6.4
00002758,7.2,6.9,6.4,6.7,6.4,6.6,6.2,5.9,6.1,6.1,6.8,6.6,6.3,6.1,8.0,6.7,6.2,6.3,6.1,6.2,6.6,7.1,6.5,6.2,5.9,7.0,6.2,6.8,6.3,6.1,6.2,5.8,6.1,6.3,6.2,6.2,6.8,6.7,6.3,7.3,6.7,6.1,6.4
00002811,4.2,6.2,2.6,5.7,5.3,2.6,4.2,4.6,3.8,3.4,4.3,3.6,2.0,5.9,2.7,3.6,4.5,2.5,2.1,3.0,2.1,4.3,3.9,3.0,1.7,2.2,2.6,3.9,2.8,1.3,2.5,3.4,1.4,3.7,4.8,2.8,3.0,3.4,1.6,3.2,1.6,2.0,2.4
00002823,0.0,6.7,4.4,7.9,5.8,6.4,7.9,6.4,5.8,8.1,5.9,5.7,5.7,8.4,6.8,8.6,4.9,3.7,4.1,6.3,4.8,4.2,5.8,3.5,3.3,5.5,3.9,4.6,6.2,3.8,4.5,3.3,2.0,3.0,5.5,3.2,5.5,5.3,3.0,4.1,2.3,5.7,4.1
00002848,6.7,7.5,6.5,6.9,5.9,7.1,7.5,6.0,6.4,6.8,6.3,6.9,6.4,6.8,5.9,7.0,6.2,6.2,5.7,5.4,6.6,7.7,6.7,6.3,6.1,6.7,6.6,6.4,6.2,6.3,6.6,6.8,6.4,6.8,7.0,6.3,6.9,6.8,6.7,7.9,6.9,6.4,6.6
00003064,12.0,,6.4,,6.1,7.0,6.2,6.5,5.7,6.7,5.9,6.5,6.2,6.0,7.1,,6.7,6.5,6.2,6.7,6.4,7.1,7.6,6.5,6.3,6.0,6.9,6.1,7.6,6.4,6.3,,6.4,6.8,7.0,6.7,6.9,5.9,6.4,7.4,6.6,7.0,6.9
00003078,8.7,,5.4,,6.3,6.8,6.5,6.7,6.2,6.5,6.0,6.8,6.7,6.2,6.3,,6.8,6.3,6.2,5.6,6.0,7.0,7.0,5.9,6.0,6.3,6.2,6.2,6.8,6.1,6.5,,5.7,6.8,6.3,6.5,6.9,6.4,5.7,6.6,5.9,6.5,6.5
00003079,8.4,,4.6,,6.2,6.2,6.6,6.4,6.2,7.0,6.1,7.7,6.4,6.3,6.2,,6.0,6.4,5.8,6.2,5.6,7.1,6.7,6.5,6.4,6.6,6.5,6.1,6.8,6.1,6.0,,6.2,6.6,6.4,6.4,6.3,6.2,6.1,6.5,5.8,6.4,6.1
00003086,8.5,,6.9,,6.2,6.9,6.7,6.7,6.0,6.8,6.3,6.9,6.7,6.5,6.5,,7.0,6.9,6.4,6.4,6.6,7.2,6.5,6.2,6.8,6.4,6.7,7.0,6.6,6.4,6.5,,6.6,7.0,6.5,6.4,6.7,6.3,6.2,6.5,6.1,6.6,6.1
00003089,9.8,,6.7,,5.9,6.0,5.2,6.6,5.5,6.3,5.8,6.8,6.7,5.6,6.2,,6.1,5.8,4.8,5.8,5.7,6.8,6.9,6.0,5.3,6.4,6.0,6.5,6.6,6.2,6.3,,5.8,6.6,6.0,6.2,6.4,6.1,6.1,7.1,4.8,6.2,5.9
00003695,7.2,6.8,6.4,6.6,5.5,6.6,6.8,6.4,6.5,4.7,6.3,5.8,6.2,5.8,6.7,6.7,5.8,6.7,5.9,5.9,5.8,6.7,6.8,,6.8,6.8,6.6,4.8,5.9,6.5,6.0,,6.0,6.5,6.3,6.0,5.4,5.1,6.7,,5.5,6.0,6.9
00003698,6.7,6.2,6.4,6.6,4.8,6.6,6.5,5.6,6.4,6.1,6.3,6.2,6.3,6.3,6.2,6.7,6.7,6.5,6.1,5.6,6.3,5.6,6.5,,6.9,5.9,6.3,5.7,6.1,5.3,5.7,,6.4,6.3,6.6,6.2,5.7,6.7,6.5,,4.0,7.0,6.8
00028119,6.8,7.0,4.7,6.8,6.0,8.3,6.7,6.0,6.2,6.9,6.1,6.6,6.1,8.2,5.7,7.1,6.6,6.5,5.4,5.7,6.9,7.4,6.6,6.4,6.2,6.6,6.8,6.5,6.6,6.1,7.2,,7.0,6.9,7.1,6.6,7.0,6.8,6.5,7.5,7.1,6.7,6.9
