zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000272,19.9,21.2,21.5,21.1,23.8,23.0,22.7,22.0,24.3,22.5,23.2,22.1,22.9,24.9,22.7,22.8,22.8,23.8,23.1,23.1,23.7,24.2,22.8,24.6,24.1,24.0,26.0,24.0,23.4,24.7,25.1,25.9,23.8,25.2,23.9,25.1,23.4,23.2,23.6,21.3,24.4,25.6,24.0
00000275,20.0,21.1,22.4,21.6,23.9,23.2,22.8,22.3,24.0,22.3,23.1,23.2,22.9,24.9,23.1,22.8,22.8,24.2,20.3,22.9,23.7,24.1,23.1,24.7,24.2,24.0,26.3,23.8,23.7,25.5,25.0,26.0,23.8,25.3,23.9,25.3,23.4,23.2,23.5,22.5,24.4,25.5,24.8
00002725,20.4,21.8,22.1,21.0,23.5,23.2,22.8,21.6,23.3,22.3,22.8,22.0,23.0,24.4,22.3,21.8,22.7,24.0,22.0,22.5,23.6,23.9,22.6,24.2,23.9,23.4,25.8,23.3,22.8,24.3,24.7,25.8,23.8,24.6,23.6,24.6,23.4,23.0,22.9,20.5,24.7,25.2,23.2
00002737,20.2,21.1,22.0,20.5,23.7,23.1,22.4,21.6,23.8,22.3,23.6,22.2,22.9,24.6,23.1,21.3,22.6,24.0,23.2,22.1,23.2,23.3,22.9,24.5,24.0,23.0,25.6,22.5,23.0,24.8,24.8,25.7,24.0,25.4,23.6,24.6,22.9,23.4,23.5,20.8,24.6,25.8,23.5
00002744,21.6,21.1,21.9,20.9,24.0,23.6,22.8,22.0,23.8,22.4,22.8,22.3,22.5,24.7,23.1,22.6,23.1,24.1,24.0,22.5,23.7,23.0,22.7,24.3,24.2,23.0,25.8,22.4,23.0,24.5,24.8,25.9,23.9,25.0,23.6,24.6,23.0,23.1,23.4,21.0,24.4,25.4,23.5
00002750,21.9,21.1,21.8,21.1,23.9,23.9,22.8,22.1,24.1,22.7,23.4,22.3,23.2,24.3,23.0,22.4,23.3,24.1,23.6,22.7,23.5,23.9,23.4,24.3,24.2,23.7,25.6,22.6,23.5,24.6,25.0,25.6,23.6,25.3,23.9,24.8,22.9,23.3,23.3,21.5,24.4,25.2,23.6
00002758,21.4,21.2,21.8,20.9,23.8,23.9,22.8,22.4,24.1,22.5,22.1,21.4,23.2,24.3,23.0,22.9,22.8,24.0,23.5,22.4,23.9,23.9,23.7,23.9,24.1,23.2,25.2,22.1,23.7,24.6,25.3,25.3,23.6,25.1,23.9,24.7,22.8,23.1,23.4,22.2,24.4,25.0,23.2
00002811,21.5,20.3,23.2,20.7,24.0,23.0,22.8,21.4,23.3,22.0,22.8,22.2,22.6,23.5,22.2,22.5,21.9,24.0,24.2,22.2,24.2,23.7,22.6,24.9,24.8,24.4,25.7,24.3,24.0,25.3,23.5,25.8,24.1,24.9,24.2,25.4,23.8,23.0,23.7,23.7,24.2,25.1,25.8
00002823,,20.4,23.0,20.6,23.9,22.3,22.4,21.3,22.9,19.7,22.0,21.9,22.9,22.0,22.5,20.9,23.0,23.9,24.2,22.6,23.7,24.1,22.5,24.7,24.6,24.1,25.4,23.8,24.8,25.2,23.8,26.0,24.0,24.3,24.0,25.2,23.8,24.1,24.0,23.3,24.2,23.3,24.8
00002848,21.4,20.5,22.2,21.4,24.3,24.0,23.2,22.0,22.9,22.2,22.5,22.0,23.0,23.8,22.7,22.1,22.9,23.8,24.0,23.0,23.6,23.9,22.9,24.3,24.1,23.9,25.4,23.6,24.0,24.6,24.6,25.3,24.3,24.8,23.8,25.1,23.8,23.5,24.1,23.8,25.2,23.1,24.8
