zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000272,5.9,6.3,4.5,5.5,5.3,4.8,5.9,6.0,5.1,5.5,5.7,6.4,5.1,5.5,8.6,5.4,6.4,5.5,7.1,5.1,6.7,8.2,5.6,6.7,4.3,8.6,4.0,5.0,7.2,8.1,6.0,4.7,11.0,8.6,7.9,6.7,9.1,6.3,5.4,7.5,7.4,10.0,8.0
00000275,6.1,10.1,4.1,5.1,6.9,6.7,6.1,8.4,4.8,7.1,6.5,9.2,4.4,7.2,10.0,5.3,6.7,4.9,5.0,6.6,7.1,6.9,5.4,6.7,5.1,7.3,3.8,5.6,5.6,11.0,6.8,5.6,10.0,8.8,8.7,4.2,7.5,5.6,4.8,8.6,8.2,7.6,10.0
00002725,7.6,7.3,10.2,7.8,8.6,7.4,8.2,6.4,7.1,10.0,7.3,9.1,9.1,6.5,9.3,8.0,7.2,8.3,9.1,8.1,8.9,9.3,7.8,8.6,6.8,9.6,6.3,7.1,8.2,11.0,8.6,6.3,8.5,8.0,7.6,7.1,9.9,7.1,7.0,7.5,7.7,7.7,7.6
00002737,7.8,8.5,7.5,6.9,8.4,7.8,7.6,6.6,6.4,8.1,6.7,11.0,9.0,7.8,9.1,6.8,7.7,7.3,6.4,7.8,7.3,9.2,7.1,10.0,7.5,7.5,6.0,6.7,7.0,7.0,6.1,6.1,8.1,8.4,7.1,6.1,8.5,6.7,6.9,8.1,7.4,6.4,8.0
00002744,7.5,7.0,9.8,7.3,9.0,7.2,8.6,6.2,6.5,9.2,7.8,10.0,9.4,6.3,9.2,10.0,9.5,9.0,7.4,6.9,8.1,8.2,7.2,8.2,6.3,9.5,6.2,7.8,6.6,8.7,8.9,6.0,7.7,6.3,7.2,6.9,7.5,6.7,6.6,7.4,7.6,7.0,6.7
00002750,7.5,7.0,7.1,7.4,6.6,7.2,6.7,6.4,6.5,9.0,6.3,7.5,11.5,6.4,6.1,7.3,6.9,6.7,6.6,7.2,7.9,7.8,6.9,8.2,6.2,8.2,6.2,7.6,6.9,6.6,6.6,6.3,7.4,6.2,6.3,7.0,7.5,6.5,6.4,7.7,7.2,6.2,6.6
00002758,7.7,7.6,7.5,7.1,7.5,6.0,7.0,6.0,6.3,6.5,6.9,7.2,6.8,6.6,8.1,7.2,6.7,7.1,6.5,6.7,6.9,7.4,6.5,8.1,7.2,7.3,6.1,7.3,6.2,6.4,6.6,6.1,7.3,6.5,6.3,6.2,6.9,6.5,6.4,8.3,7.1,6.7,6.6
00002811,4.1,7.9,5.8,5.6,7.9,5.5,4.0,10.0,2.0,10.0,3.8,6.0,9.9,6.4,5.5,10.1,11.7,6.5,4.9,5.9,7.0,11.0,6.5,7.1,7.4,6.6,7.3,7.1,8.5,8.8,11.0,8.3,8.9,8.4,8.7,7.2,7.2,7.2,8.8,7.6,8.6,6.4,8.2
00002823,0.0,11.0,9.8,8.4,6.9,7.5,7.9,6.3,6.6,9.2,7.0,9.2,10.0,8.9,9.7,9.4,10.3,7.5,7.5,6.3,7.5,7.9,6.8,8.3,6.1,8.7,7.6,7.5,7.5,9.6,10.0,8.9,7.9,8.0,9.2,7.4,8.0,8.1,7.8,8.1,7.1,7.4,7.6
00002848,7.2,7.1,7.7,7.2,5.9,7.1,6.5,6.1,6.2,6.6,6.1,6.8,9.1,6.8,6.1,6.6,6.2,7.2,5.8,6.0,6.7,8.7,6.7,6.4,6.1,7.1,6.4,6.6,7.5,6.5,8.6,7.1,8.0,7.0,7.2,6.8,7.2,7.5,6.9,7.7,7.6,6.6,7.3
00003064,11.0,,6.4,,6.8,7.1,7.5,6.2,6.3,6.9,5.9,7.0,6.4,6.0,6.7,,6.3,6.6,6.2,6.9,6.7,7.8,7.1,7.0,7.3,7.4,6.8,7.1,8.1,7.3,7.2,,6.6,6.8,7.4,7.4,7.1,7.4,6.9,7.9,7.8,7.9,6.9
00003078,9.1,,7.0,,6.5,6.7,6.3,6.1,6.3,6.9,6.4,8.5,6.8,6.1,6.7,,7.2,7.1,6.0,8.6,6.1,7.1,6.9,7.2,7.0,7.1,6.5,7.3,6.9,6.1,6.4,,6.4,6.6,7.1,6.5,7.2,7.1,6.5,7.1,7.6,7.0,6.4
00003079,9.0,,6.6,,7.0,7.2,6.7,6.5,6.3,7.2,6.2,7.0,6.9,6.3,6.9,,6.9,6.6,6.6,7.0,5.9,7.1,6.9,6.9,7.2,7.3,6.8,7.3,7.5,7.6,7.0,,6.8,6.7,7.8,7.4,6.9,7.2,6.7,7.4,7.6,7.0,6.7
00003086,8.7,,7.0,,7.1,7.6,6.9,6.7,6.3,7.1,6.5,8.6,6.9,6.7,7.0,,7.0,6.8,7.1,7.0,7.0,7.2,7.0,6.9,6.9,6.9,6.8,7.5,7.5,6.9,6.9,,7.1,6.6,7.5,7.1,6.9,6.8,6.8,7.3,7.5,7.0,7.2
00003089,12.0,,6.7,,7.6,6.8,6.9,6.3,6.6,7.5,6.2,7.5,6.7,6.4,6.7,,7.0,6.9,6.3,6.9,6.4,7.1,6.9,7.2,6.9,7.4,6.7,7.0,7.5,6.8,5.8,,6.7,6.8,7.6,7.1,6.7,7.3,6.7,7.5,7.3,7.0,6.6
00003695,7.5,7.0,6.8,6.9,7.5,7.2,7.2,6.6,6.5,7.2,6.4,5.4,6.6,6.8,7.0,6.8,7.2,7.5,6.8,7.5,6.9,7.1,7.2,,6.7,7.0,6.5,6.7,6.8,6.5,7.2,,6.9,7.2,7.0,7.2,7.2,7.4,7.5,,6.9,6.9,7.1
00003698,8.1,6.7,6.7,7.3,6.9,7.5,6.9,6.4,6.5,6.6,6.1,6.6,6.7,6.8,7.4,6.8,7.3,6.9,6.5,7.6,6.9,7.0,7.7,,6.9,6.6,6.6,6.7,6.8,6.5,6.6,,6.7,6.8,7.2,6.7,7.3,7.1,7.4,,6.9,6.7,6.8
00028119,7.0,6.9,5.1,6.3,6.2,8.5,6.7,6.0,6.3,6.9,6.3,6.7,7.5,8.3,5.7,7.1,6.6,6.5,5.4,5.9,6.9,6.7,6.6,6.5,6.5,7.3,6.7,6.6,6.7,6.2,7.2,,6.9,7.1,7.0,6.7,6.9,7.5,6.9,7.6,7.1,7.0,7.0
00028129,7.0,7.1,4.7,8.7,7.1,8.0,7.1,6.6,6.3,7.3,6.4,7.3,6.8,8.2,6.0,6.7,6.9,6.9,5.8,5.8,7.0,7.5,6.7,6.2,6.4,7.5,6.3,6.7,6.6,6.5,7.6,,7.4,7.3,7.6,6.9,7.2,7.3,7.1,7.9,7.2,6.9,7.1
00028132,6.6,7.0,4.3,8.4,5.9,7.5,6.2,5.7,6.5,7.0,6.3,7.3,8.0,7.9,6.5,6.6,7.5,6.4,5.3,6.0,5.8,7.5,6.8,6.5,6.1,8.6,6.2,7.1,6.5,6.1,6.9,,7.7,7.6,8.2,7.1,6.8,7.0,7.6,7.3,6.7,7.5,7.4
00028143,6.7,7.3,4.5,8.3,6.6,8.2,7.2,6.4,6.5,7.3,6.5,6.9,8.5,8.0,6.1,6.4,7.5,7.3,5.8,6.5,6.8,7.3,6.7,7.9,6.5,7.8,6.1,6.7,6.9,7.0,7.9,,8.1,7.0,7.7,6.7,7.0,7.3,7.4,7.4,7.2,7.0,7.6
00028150,6.5,7.5,5.1,8.6,6.2,8.1,7.0,6.7,6.4,6.6,6.3,8.9,8.7,7.5,6.0,6.3,6.8,7.3,5.7,6.1,6.9,6.8,6.9,8.1,6.2,9.0,6.1,6.6,9.4,6.5,8.1,,8.3,7.1,7.7,7.1,7.4,8.2,7.4,7.7,7.2,7.6,7.1
00028153,6.6,7.7,4.5,8.2,6.8,8.2,7.2,6.5,6.5,7.1,6.5,6.7,8.3,8.4,6.1,6.2,7.2,6.7,5.7,6.5,7.2,7.0,6.7,6.2,6.2,7.2,6.2,6.7,6.9,6.6,7.8,,8.0,7.1,8.3,7.0,7.3,7.5,7.1,7.8,7.3,6.8,7.3
