zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000272,18.5,19.8,20.8,20.9,22.8,22.1,21.9,19.9,22.5,20.6,21.6,21.3,22.1,24.9,22.9,22.1,22.6,24.2,21.6,22.5,22.9,23.5,21.7,24.0,24.2,24.1,25.8,23.5,22.4,24.8,24.3,25.3,24.5,25.4,23.1,23.3,24.4,22.4,23.4,19.3,25.2,26.0,23.2
00000275,21.6,21.2,23.7,22.6,25.8,24.6,24.4,22.3,25.7,22.4,22.8,24.1,23.8,25.6,24.7,24.2,24.6,24.3,21.3,23.7,24.2,24.2,23.0,26.0,24.4,23.5,27.9,24.9,23.6,26.4,24.9,28.2,26.8,26.8,24.2,25.9,25.4,24.2,24.0,22.0,27.5,26.5,25.6
00002725,20.5,21.8,21.4,20.6,23.2,23.3,22.3,21.8,23.2,21.0,21.9,21.6,22.0,24.4,22.3,21.4,22.7,23.6,21.2,22.0,22.6,23.6,21.5,23.6,23.5,23.0,25.6,23.5,22.7,24.2,23.3,25.4,24.0,24.3,22.8,23.4,24.0,22.4,22.3,20.9,25.2,25.1,23.0
00002737,20.2,21.3,21.8,21.1,24.0,23.4,22.7,21.4,24.2,22.3,22.5,22.1,22.3,24.9,23.3,21.5,22.5,24.0,23.0,22.1,23.4,23.4,22.4,23.9,24.0,23.8,25.8,22.5,22.7,24.9,24.3,25.8,24.7,25.4,23.6,24.5,24.1,22.9,23.2,20.9,24.9,26.0,24.0
00002744,20.3,21.3,21.3,21.1,23.6,23.8,22.9,21.1,24.1,22.1,22.2,21.7,22.0,25.0,22.8,22.3,23.5,23.9,22.0,22.7,23.2,23.5,22.4,24.0,23.8,22.5,25.8,22.4,22.3,24.5,23.9,25.7,24.2,25.0,23.2,23.9,23.6,23.3,23.2,20.0,24.9,25.4,23.6
00002750,21.2,20.9,21.8,21.0,24.2,23.5,22.9,21.9,24.1,22.0,23.1,22.2,22.0,24.6,22.9,22.5,23.1,24.1,23.2,22.5,23.1,23.9,23.2,23.9,24.1,22.6,25.8,22.4,22.7,24.7,24.5,25.5,24.2,25.3,24.1,24.1,23.6,23.3,23.2,19.8,24.7,25.6,23.7
00002758,20.2,21.1,21.3,20.9,23.6,23.6,22.8,21.4,23.8,22.5,22.6,22.0,22.8,24.6,22.9,22.8,23.1,23.9,23.2,22.2,23.7,23.9,23.5,23.9,23.9,23.0,25.3,22.4,23.0,24.8,24.3,25.6,24.2,25.4,23.6,24.6,22.9,23.0,23.4,22.5,24.8,25.5,23.5
00002811,21.2,20.0,22.5,20.7,23.8,23.0,22.9,20.4,23.3,20.5,22.8,22.2,22.1,23.2,22.1,21.0,22.4,21.4,22.8,22.3,22.8,22.9,21.3,23.5,23.7,24.1,24.2,22.4,23.0,24.6,23.7,24.9,25.5,24.7,23.3,23.2,22.9,22.8,24.0,22.5,26.0,23.0,25.2
00002823,,19.4,21.9,20.8,23.8,22.2,22.4,21.3,22.0,20.3,21.6,21.2,21.7,22.5,21.9,21.0,22.1,22.5,22.4,22.6,22.1,23.7,21.5,23.5,23.6,22.9,24.3,22.9,24.0,25.4,23.7,25.2,24.2,24.1,23.2,23.7,22.9,22.3,24.2,22.5,25.3,23.0,25.0
00002848,21.4,20.3,22.0,21.3,24.2,24.0,23.4,21.5,23.0,21.8,20.5,21.9,22.1,23.8,22.7,22.1,22.8,22.2,24.0,23.0,23.6,23.9,23.2,24.7,24.3,23.8,25.4,23.6,23.2,24.9,24.1,25.1,24.5,24.8,24.0,25.1,23.6,23.3,24.6,23.8,25.2,23.7,25.1
00003064,20.0,,19.8,,24.0,24.0,22.0,22.2,25.2,23.1,24.6,22.0,23.8,24.2,24.1,,24.1,23.7,23.9,21.7,24.8,23.9,22.5,24.2,24.38,24.3,24.9,23.0,23.8,25.1,24.0,,23.4,24.3,22.9,24.7,22.3,23.1,23.5,22.8,25.5,22.7,23.7
00003078,21.0,,21.2,,24.0,24.8,22.8,21.8,24.9,22.7,23.6,22.2,23.5,24.0,22.2,,24.0,22.0,23.7,21.3,24.6,23.6,22.6,23.9,23.99,24.2,24.7,22.8,23.7,24.8,24.5,,23.3,23.9,22.8,24.5,21.5,22.7,23.2,22.7,25.0,23.5,23.3
