zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000272,1.9,4.6,5.5,5.2,3.7,9.1,5.7,3.5,4.1,4.0,3.8,5.4,4.7,3.4,4.6,4.9,4.3,3.2,6.5,5.3,5.1,3.8,4.9,5.2,3.5,4.4,4.1,3.8,3.9,3.5,4.8,5.4,3.6,4.6,3.4,5.5,5.0,2.9,2.9,3.5,4.2,5.0,4.1
00000275,1.9,4.0,3.8,4.2,2.0,4.7,3.8,3.0,4.7,2.9,2.6,5.2,2.4,4.7,4.7,5.2,6.7,4.0,6.2,5.1,4.7,4.0,3.1,6.0,2.4,6.6,5.6,3.3,5.2,5.4,2.8,4.2,6.0,4.2,2.8,4.9,3.3,3.2,1.5,3.0,2.9,4.9,1.5
00002725,8.9,7.6,7.2,7.9,7.0,6.8,7.9,7.7,7.4,7.2,7.2,8.0,7.7,6.9,7.6,7.9,7.3,6.3,7.8,8.3,7.9,7.6,7.7,8.1,7.5,8.9,8.0,7.4,8.0,8.2,7.8,7.6,8.0,7.9,7.5,8.0,7.9,7.9,7.7,8.0,6.1,8.0,7.8
00002737,5.8,6.8,7.4,7.8,6.7,7.8,7.5,7.4,7.2,6.0,6.8,7.7,7.3,7.6,6.8,7.7,6.8,6.4,8.0,8.0,7.1,8.0,7.7,7.6,7.6,7.7,7.9,7.5,8.3,8.1,7.4,7.9,7.9,7.4,7.0,7.8,8.0,7.6,7.3,8.0,7.1,7.1,7.7
00002744,8.5,7.3,8.8,7.7,6.6,7.8,8.7,8.0,6.8,6.9,7.0,7.7,7.2,7.7,7.9,8.1,6.8,6.9,7.9,8.2,6.8,7.3,7.9,8.2,9.0,8.2,8.1,7.7,8.4,8.2,7.9,7.6,7.5,7.6,7.7,7.8,8.4,7.7,7.7,7.9,7.3,7.8,7.6
00002750,6.9,7.0,7.4,8.3,6.6,7.0,7.6,7.5,7.5,7.7,6.8,7.8,7.1,7.7,7.3,8.3,7.4,6.8,8.1,7.9,8.0,7.6,7.8,8.0,7.2,8.4,7.7,7.7,8.0,7.9,8.6,8.4,7.7,7.6,7.2,8.1,7.5,7.5,7.5,8.1,6.9,8.0,7.8
00002758,7.6,7.0,8.3,7.2,6.4,7.0,7.5,7.6,7.3,8.1,7.1,7.9,7.2,7.5,7.5,8.2,4.5,7.1,7.7,7.6,7.4,7.6,7.9,7.9,8.6,8.2,6.9,7.5,7.9,8.3,8.0,7.8,7.5,7.9,7.5,7.7,7.6,7.7,7.5,7.7,7.4,7.9,7.8
00002811,4.4,3.9,5.9,3.9,3.8,5.5,5.2,4.5,6.1,4.8,5.5,6.5,5.6,3.8,1.6,5.1,4.2,3.6,5.8,4.8,4.3,3.8,5.5,5.7,3.9,3.5,5.1,5.4,6.4,3.4,5.7,9.8,6.0,6.3,5.4,6.0,4.8,5.0,4.4,4.9,3.4,2.0,5.3
00002823,6.4,4.4,6.1,5.7,6.0,4.2,7.8,7.3,6.7,7.6,6.8,9.4,7.3,6.9,2.9,4.2,4.7,4.3,5.9,6.0,4.8,5.0,5.5,6.0,4.9,3.7,6.2,5.7,7.0,7.3,6.6,6.8,5.6,5.5,5.3,5.3,6.4,6.8,4.9,6.6,6.1,5.4,6.2
00002848,7.9,7.9,7.9,8.2,6.8,7.7,8.1,7.8,7.3,7.7,7.4,8.3,8.6,8.0,6.6,8.2,7.5,7.2,7.8,7.6,8.3,7.6,8.0,7.6,7.6,8.0,8.0,8.1,8.7,8.3,8.8,8.1,7.9,8.0,8.2,8.2,8.6,8.0,7.6,7.9,8.0,7.7,8.2
00003064,8.4,7.9,7.1,7.8,,,8.6,7.9,7.4,6.8,7.2,6.5,7.5,7.2,7.8,8.4,7.6,,7.2,7.8,7.5,7.7,7.6,7.1,8.2,7.2,7.2,7.9,7.8,7.5,7.3,,8.0,7.6,7.5,7.3,7.3,6.7,7.3,7.4,7.2,7.8,7.7
