zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000272,30.3,31.07,31.25,31.98,32.16,31.61,32.34,31.8,31.5,31.0,31.4,31.7,30.4,31.5,32.2,32.4,31.7,31.9,31.21,31.5,32.0,32.42,32.51,31.49,32.12,32.27,32.18,31.28,32.15,31.82,31.85,31.47,31.86,31.99,31.71,31.61,31.99,31.78,32.51,32.94,32.05,32.65,32.43
00000275,31.67,32.16,31.8,32.16,32.16,31.61,32.34,32.16,32.2,32.0,31.7,31.3,32.2,31.5,32.9,32.4,32.0,32.0,31.82,31.8,32.4,32.57,32.61,32.03,32.27,32.46,32.38,32.63,32.31,31.91,32.19,31.64,32.11,32.01,31.86,31.91,31.87,31.93,32.71,33.36,32.28,32.72,32.59
00002725,32.26,32.16,32.16,32.16,32.34,31.98,32.52,32.34,32.5,31.9,31.8,29.1,33.9,31.7,32.1,32.7,31.8,32.2,32.25,32.2,32.7,32.62,32.68,32.47,32.64,32.39,32.57,30.62,32.66,32.12,32.36,32.16,32.19,32.33,32.22,32.03,32.46,32.15,32.81,33.82,32.26,32.75,32.43
00002737,32.1,32.52,31.98,32.16,32.34,31.8,32.52,32.34,32.7,32.0,31.9,32.0,32.2,32.0,32.2,32.7,32.3,32.7,32.06,32.1,32.6,32.54,32.71,32.39,32.6,32.39,32.38,32.41,32.7,32.19,32.11,31.95,32.37,32.26,32.08,32.94,32.77,32.46,32.98,33.52,33.02,33.13,32.76
00002744,33.04,32.7,31.98,32.16,32.34,31.98,32.16,32.34,32.8,32.3,32.3,32.3,31.7,32.2,32.1,33.2,32.0,33.0,32.72,32.3,32.7,32.6,32.73,32.56,33.44,33.57,32.56,32.47,32.57,32.71,32.45,32.8,32.84,32.65,32.2,32.54,33.13,32.86,33.5,33.78,33.18,33.44,32.76
00002750,32.9,32.88,31.98,32.7,32.7,33.06,33.24,32.7,32.3,32.7,32.9,32.3,32.5,32.2,32.8,32.8,32.2,32.5,32.32,32.7,32.7,32.71,33.13,32.78,33.7,33.69,32.79,32.86,32.81,32.95,32.52,32.65,32.96,32.79,32.54,32.21,33.31,32.99,33.52,34.02,33.36,33.51,33.03
00002758,32.9,33.24,32.52,33.24,33.6,33.06,33.24,33.06,33.1,32.7,32.9,33.2,33.3,33.0,33.1,33.3,33.1,33.0,33.19,33.5,33.0,33.39,33.52,33.43,33.8,34.26,33.77,33.08,33.34,33.22,33.24,32.96,33.52,33.1,33.17,33.14,33.58,33.03,33.7,34.45,33.35,33.9,33.15
00002811,28.2,29.99,29.81,31.25,31.98,31.61,32.16,31.61,28.9,29.8,28.8,31.6,30.8,31.0,32.2,32.2,31.82,31.75,31.92,31.8,31.8,32.5,32.52,32.03,32.03,31.78,32.03,31.5,32.12,31.85,31.13,31.79,31.86,30.79,31.71,31.07,31.32,31.35,31.45,31.14,31.52,32.58,32.34
00002823,30.4,30.53,31.61,23.49,32.7,32.34,32.52,32.52,32.0,31.8,30.6,32.7,32.1,32.5,31.5,32.6,32.18,32.12,31.98,32.2,32.4,32.53,32.51,32.29,32.14,31.98,32.19,31.2,32.37,32.01,31.82,31.99,32.1,31.99,32.1,31.52,31.71,31.6,31.89,31.59,31.59,32.8,32.46
00002848,30.3,30.53,31.98,32.7,32.52,32.52,32.52,32.52,31.8,31.9,31.7,32.5,32.3,32.1,32.3,32.7,32.24,32.19,32.24,32.5,32.5,32.63,32.71,32.51,32.58,31.91,32.54,31.7,32.44,32.02,32.33,32.41,32.34,32.27,32.26,31.61,31.53,31.59,31.97,31.89,31.86,33.0,32.51
