zettaicode,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00000272,18.41,16.11,16.01,22.22,18.97,18.01,14.9,21.68,13.6,18.5,21.2,21.7,23.2,15.9,12.4,24.1,17.7,20.3,20.72,23.6,21.3,21.39,23.6,15.32,25.17,25.12,21.26,9.37,15.2,26.12,22.67,22.06,26.8,18.88,17.23,18.41,24.54,17.81,21.16,21.25,20.63,28.5,10.22
00000275,27.69,27.28,26.92,30.71,24.93,28.72,28.0,30.53,27.9,26.3,30.3,30.7,30.0,30.5,24.6,31.5,26.8,28.0,30.6,28.6,30.3,30.55,30.18,29.94,30.97,31.7,29.41,22.36,27.75,30.08,30.04,30.41,31.02,29.81,28.87,29.63,29.48,23.19,30.3,31.06,29.78,31.71,26.16
00002725,28.71,29.99,27.46,29.09,28.72,28.36,27.64,31.25,31.5,30.2,30.1,32.2,32.2,30.8,22.8,29.6,28.6,26.7,32.18,30.9,31.3,29.88,30.17,29.97,31.15,31.62,30.44,26.69,30.42,30.73,31.57,28.15,30.31,31.12,31.38,30.37,29.85,29.06,32.09,32.74,31.91,30.29,28.64
00002737,28.63,29.45,31.43,31.07,29.27,30.17,30.35,31.43,30.9,29.9,31.0,30.0,31.3,31.4,27.2,32.3,29.5,30.5,31.78,30.2,31.4,31.56,30.68,31.73,31.52,31.43,31.26,29.53,29.56,31.35,30.99,31.22,30.85,31.15,30.48,31.9,30.93,30.99,31.98,32.37,31.88,32.25,27.92
00002744,31.13,30.71,30.89,31.61,28.72,31.61,31.98,31.98,31.9,31.8,30.9,30.1,32.3,32.0,29.4,32.3,30.6,30.8,31.96,31.9,32.1,31.63,32.48,32.05,31.67,32.04,31.81,31.54,31.28,31.37,31.6,31.92,31.05,31.47,31.23,31.57,31.21,31.77,32.39,33.23,32.12,32.01,30.71
00002750,31.89,31.43,31.8,31.98,31.43,31.61,31.98,32.16,32.3,31.9,31.3,31.7,32.1,32.2,31.3,32.7,32.1,30.8,32.08,32.2,32.6,32.12,32.75,32.06,31.8,32.92,32.09,31.48,32.71,31.33,32.47,31.88,32.19,31.63,31.91,31.42,31.98,31.08,32.72,33.38,32.35,31.83,31.64
00002758,30.37,32.34,32.52,32.7,31.61,31.61,31.07,32.34,32.3,32.3,32.3,32.0,32.2,32.1,32.6,32.9,31.8,32.1,31.98,32.0,32.8,32.54,32.62,33.41,32.47,32.96,32.23,31.12,32.7,31.89,32.31,32.56,32.92,32.61,31.42,32.18,32.87,32.54,32.99,33.72,33.08,33.01,32.24
00002811,20.7,22.4,25.29,26.01,24.75,27.1,19.87,16.26,19.5,16.5,25.6,28.7,29.4,26.9,14.6,27.8,21.0,17.05,29.54,28.0,28.24,25.92,28.45,22.88,29.77,16.56,21.58,24.6,23.62,28.69,8.66,28.73,27.27,24.93,24.06,13.57,22.83,7.4,25.06,27.18,28.7,29.53,21.57
00002823,20.2,26.92,29.81,29.27,26.38,28.36,26.92,28.9,18.2,26.9,26.6,28.2,30.1,26.5,13.2,29.9,24.18,18.88,30.06,29.2,29.6,30.05,25.06,23.46,30.58,26.16,29.35,26.7,29.53,27.74,23.43,26.45,29.87,28.18,25.37,21.25,28.55,18.16,27.8,29.72,26.49,30.29,22.32
00002848,30.3,32.34,31.98,32.52,32.7,32.34,30.53,32.52,32.0,32.0,31.0,31.6,32.1,32.1,31.2,31.8,30.82,31.23,31.61,31.4,32.5,32.36,30.46,32.45,32.48,31.37,31.99,31.6,32.37,31.89,32.18,29.57,32.26,32.09,32.18,31.57,31.13,22.82,31.77,31.54,28.39,32.86,28.13
00003064,33.6,32.88,33.06,33.96,,,33.06,33.24,32.5,31.8,33.0,32.3,33.0,34.1,33.6,33.6,31.4,,32.3,33.4,33.2,34.1,33.4,32.35,33.23,33.19,33.6,32.9,33.65,32.34,33.02,,33.44,33.28,27.07,26.77,33.69,26.38,33.62,33.2,32.51,33.55,33.27
00003078,33.6,32.88,32.88,33.24,,,33.24,32.88,32.3,32.2,32.7,32.1,32.8,33.3,34.2,32.9,31.7,,32.1,33.8,33.2,33.7,33.4,31.51,33.17,32.85,33.2,32.1,33.31,32.91,33.03,,33.12,33.27,27.04,27.05,33.52,31.69,33.75,33.42,33.15,33.78,32.59
00003079,33.06,33.06,33.06,33.24,,,33.78,32.88,33.2,31.6,32.8,32.5,32.7,32.1,34.3,34.3,31.9,,32.4,32.5,33.8,34.2,34.4,32.39,33.29,33.0,33.1,32.4,33.48,33.52,32.95,,34.02,33.55,27.2,27.04,33.76,31.24,33.56,33.3,33.15,33.77,33.12
00003086,33.06,32.88,32.88,34.87,,,32.7,32.7,33.3,31.6,32.0,32.8,33.4,33.6,33.7,33.8,31.6,,32.7,32.8,34.2,34.1,34.4,33.28,32.98,34.22,33.0,32.6,33.23,32.79,33.29,,32.75,33.06,31.01,31.5,33.13,32.42,32.89,33.15,32.75,32.86,33.37
00003089,32.88,33.06,33.06,32.7,,,33.06,33.24,33.1,31.8,32.2,33.0,32.8,34.7,34.5,33.7,32.3,,33.4,32.8,32.3,33.5,33.8,32.17,32.66,32.66,33.0,32.0,33.2,32.35,32.78,,33.08,33.15,30.64,30.23,33.38,30.82,33.68,32.81,33.09,33.21,33.14
00003695,32.04,32.75,32.54,32.45,32.77,31.78,33.29,33.82,32.06,32.45,31.67,32.84,32.69,33.6,32.9,33.7,32.3,27.1,33.0,32.6,32.1,32.5,32.9,32.7,32.6,32.6,32.8,32.2,32.22,32.79,31.48,,33.65,32.97,31.89,30.19,32.86,32.05,32.93,32.52,32.91,32.65,28.44
00003698,31.7,32.43,32.47,32.44,32.72,31.53,33.22,33.27,32.1,32.41,32.23,33.03,32.78,32.6,33.0,33.8,32.2,32.6,32.0,32.9,31.5,33.7,32.4,33.3,32.3,32.0,32.8,32.4,33.15,32.8,32.6,,33.37,32.25,31.87,31.28,32.23,32.5,32.73,32.66,32.61,32.19,32.83
00028119,31.65,32.16,30.97,32.26,32.02,32.02,32.46,31.83,31.99,30.59,31.34,31.61,32.26,32.2,29.8,32.7,32.38,31.72,32.07,32.1,32.6,32.29,31.99,32.06,31.78,31.79,32.25,32.1,32.39,31.8,32.45,,31.92,31.69,31.52,31.19,31.42,31.06,31.4,31.5,31.42,32.75,31.88
00028129,31.56,31.98,31.96,32.26,32.14,31.75,32.19,32.14,32.2,31.5,31.47,31.87,32.2,32.1,32.0,32.7,32.38,31.42,32.14,32.2,32.5,32.36,32.55,32.33,31.84,31.83,32.2,31.9,32.36,31.75,32.26,,31.95,31.76,31.63,31.36,31.32,31.01,31.62,31.32,31.4,32.37,31.97
00028132,30.3,30.53,32.39,31.87,29.08,30.64,30.22,27.58,27.8,30.0,29.91,30.92,31.64,30.8,29.8,31.6,29.26,29.24,31.13,31.7,31.6,29.48,31.43,25.71,30.83,28.96,32.11,31.2,32.08,31.12,31.13,,31.08,30.49,26.7,28.41,30.94,27.66,30.78,30.22,30.06,30.38,29.26
00028143,31.42,32.16,31.69,32.43,32.06,31.31,32.18,31.99,31.86,30.98,31.42,31.95,32.31,31.5,30.7,32.1,31.44,31.48,32.01,32.1,32.3,30.89,32.09,32.48,31.67,29.59,32.3,31.8,32.3,31.84,32.26,,32.06,31.87,31.29,31.24,31.22,31.01,31.37,31.15,31.54,31.3,31.9
00028150,30.87,31.8,31.27,31.62,31.71,31.39,26.34,29.8,31.85,30.23,31.23,31.65,31.92,31.5,29.8,32.6,28.03,27.4,31.94,31.9,32.8,30.98,32.43,31.42,31.57,30.46,32.4,32.0,32.36,31.44,31.71,,31.68,30.33,30.74,26.96,30.77,29.37,31.68,30.51,30.6,31.71,30.71
