EOF_Mode,Explained_Variance,Cumulative_Variance
EOF1,0.18789716153784708,0.18789716153784708
EOF2,0.09359033353877631,0.2814874950766234
EOF3,0.068942355415814,0.3504298504924374
EOF4,0.06227919197830095,0.41270904247073836
EOF5,0.05490530386236472,0.46761434633310306
EOF6,0.04900698319647582,0.5166213295295788
EOF7,0.04250273813800431,0.5591240676675832
EOF8,0.037424630191654644,0.5965486978592378
EOF9,0.03429921062780437,0.6308479084870422
EOF10,0.03353788862006612,0.6643857971071083
EOF11,0.029620861531269606,0.694006658638378
EOF12,0.0279550589392499,0.7219617175776278
EOF13,0.026212293824630143,0.748174011402258
EOF14,0.023376927080116083,0.7715509384823741
EOF15,0.0221159460579239,0.793666884540298
EOF16,0.01920149622706609,0.8128683807673641
EOF17,0.01838749054539266,0.8312558713127568
EOF18,0.017464229743124275,0.848720101055881
EOF19,0.01526137978418908,0.8639814808400701
EOF20,0.01410650321569069,0.8780879840557608
EOF21,0.01207887781869797,0.8901668618744588
EOF22,0.011504370356644925,0.9016712322311038
EOF23,0.011089218778717887,0.9127604510098217
EOF24,0.009438159476117461,0.9221986104859392
EOF25,0.009017561222791006,0.9312161717087302
EOF26,0.008593373530920052,0.9398095452396502
EOF27,0.007925331356184095,0.9477348765958343
EOF28,0.006967859547941905,0.9547027361437762
EOF29,0.006263935241645642,0.9609666713854218
EOF30,0.00546400448883557,0.9664306758742573
EOF31,0.00499695756352671,0.971427633437784
EOF32,0.004643198478714118,0.9760708319164981
EOF33,0.004425689917153608,0.9804965218336518
EOF34,0.003949955369863184,0.984446477203515
EOF35,0.003461855975399687,0.9879083331789147
EOF36,0.0032104138679616813,0.9911187470468764
EOF37,0.0027635467270545003,0.9938822937739309
EOF38,0.0023067179224744595,0.9961890116964054
EOF39,0.002058450147698464,0.9982474618441038
EOF40,0.001752538155896271,1.0000000000000002
EOF41,3.705618123480118e-32,1.0000000000000002
