zettaicode,Summer_1_WTEMP,Summer_2_WTEMP,Summer_1_SALT2,Summer_2_SALT2,Summer_1_DENSITY,Summer_2_DENSITY,Summer_Stratification,Summer_Wind_Speed,Winter_Air_Temp,Spring_1_CHLA,Spring_2_CHLA,Summer_1_CHLA,Summer_2_CHLA,Summer_1_WTEMP_pval,Summer_2_WTEMP_pval,Summer_1_SALT2_pval,Summer_2_SALT2_pval,Summer_1_DENSITY_pval,Summer_2_DENSITY_pval,Summer_Stratification_pval,Summer_Wind_Speed_pval,Winter_Air_Temp_pval,Spring_1_CHLA_pval,Spring_2_CHLA_pval,Summer_1_CHLA_pval,Summer_2_CHLA_pval,Summer_1_WTEMP_n,Summer_2_WTEMP_n,Summer_1_SALT2_n,Summer_2_SALT2_n,Summer_1_DENSITY_n,Summer_2_DENSITY_n,Summer_Stratification_n,Summer_Wind_Speed_n,Winter_Air_Temp_n,Spring_1_CHLA_n,Spring_2_CHLA_n,Summer_1_CHLA_n,Summer_2_CHLA_n
00000122,0.03155630397736746,0.009761570827527356,-0.025579356896202395,0.004939057162221108,-0.028250170958040235,0.0029688185965324257,0.044307382331763165,0.05198135209466205,-0.04027519088330427,0.0995568496442629,-0.016015145534486384,0.012470749219151873,0.007153544799700276,0.8467248604340406,0.9523298576058588,0.8755021103271613,0.9758701024112528,0.8626211225764293,0.9854944004466445,0.7860281418848247,0.7566065623721876,0.8051052259998653,0.5465052682390374,0.9229117277916459,0.9391217136359897,0.9650567770673689,40,40,40,40,40,40,40,38,40,39,39,40,40
00000124,-0.015709531903180793,-0.1273070754407386,-0.06219940292930156,-0.028017071354894,-0.051049106657456406,-0.000343905752402833,0.17311333184373748,0.10639476504453714,-0.10806866960793218,0.188327140915506,0.036704173598775085,-0.04273352890008597,-0.08123289613524501,0.9233529417754592,0.4337315942233752,0.7029962888201945,0.8637439852365885,0.754410609771376,0.9983195943976995,0.2854132884901198,0.5249323499274794,0.5068432300804858,0.2509077720881717,0.8244427833558874,0.7934603441416136,0.6182758378073333,40,40,40,40,40,40,40,38,40,39,39,40,40
00000125,0.03611800502960287,-0.29320116905964644,-0.07747406612729034,0.029619191630027998,-0.0776526999296083,0.08531130770853705,0.2890575122500235,-0.27193347702623993,-0.17790341442071533,0.05382955124812765,0.041057748211449537,0.09679175629126224,-0.1654683064687796,0.824890865904041,0.06633512328432122,0.6346681199898216,0.8560318678183363,0.6338851103937572,0.6006940983316353,0.07044706121108622,0.09861549187729259,0.2720862145222823,0.7448297526913799,0.8040045495906741,0.552411199433695,0.30754637301264076,40,40,40,40,40,40,40,38,40,39,39,40,40
00000128,0.01135663610590143,-0.1786122848561108,-0.17342043323189646,-0.048980473368259066,-0.15035996743180513,-0.008519671008455944,0.29309753052767173,-0.2069895499596235,0.14726087509979888,0.1469064417804151,0.007312009169334119,0.1924658345287455,0.0256318501408436,0.9445516386759322,0.27014931006435416,0.28454637567903146,0.7640728232262941,0.3544019169736582,0.9583889472848736,0.06643560117633458,0.2124334303685777,0.3709934945955727,0.37215874193907417,0.9647622514879387,0.234115199135852,0.875248625870293,40,40,40,40,40,40,40,38,39,39,39,40,40
00000129,0.08550168346930027,-0.2564647478016585,-0.1587174023112331,-0.03646929114434022,-0.16118305021446416,0.0033248134447792996,0.2524559096708018,-0.20042781941189547,0.017404282371662277,0.1068569693223487,-0.051296359834773736,0.06767316922908567,-0.07911188177845963,0.5998787256756928,0.11016798401395086,0.32797294360440804,0.8232146423710617,0.32041672823222794,0.9837552337577645,0.11603891635944734,0.22761064760525282,0.9151127819051428,0.5173292305466911,0.7564641504914079,0.6782100066896768,0.6275038368931622,40,40,40,40,40,40,40,38,40,39,39,40,40
00000236,0.08856255235650048,0.1614786613745251,-0.2621282980277767,-0.33506232205002695,-0.2857214734916219,-0.3432478472621322,-0.1360453555291059,0.18207214884138528,0.03879797199041928,-0.3629610542833499,-0.18908662621624578,-0.2082536741066017,-0.25716032484245865,0.5818915566700801,0.31315157899942825,0.09779748739762684,0.03223960289185147,0.07015772434493994,0.028011670271896518,0.396366074780962,0.2608261249571616,0.8121228385788547,0.021340910019007436,0.2425868944781683,0.19134320847228223,0.10456033359548489,41,41,41,41,41,41,41,40,40,40,40,41,41
00000244,0.3351161590518328,0.3070532066621143,-0.17856503185663275,-0.2972667225126994,-0.2180978531546454,-0.31189033147774176,-0.1696098106398118,-0.02551601928635098,-0.1513282022806295,-0.22190991508712613,0.02514947431370197,-0.2259283697375863,-0.1472117425545345,0.03221017004628027,0.050848208146268156,0.2639851553633891,0.059094658222394666,0.1707254990172479,0.04712893458527742,0.2890756246286208,0.8791383662481331,0.3512756483531974,0.1805662989422973,0.8808620730718504,0.15550583839947815,0.35836649207686355,41,41,41,41,41,41,41,38,40,38,38,41,41
00000248,0.29408211046161453,0.2018678338242717,-0.2444311608253791,-0.2958387124779678,-0.28447835157579454,-0.30618913700058376,-0.01623394680824434,-0.014062942939528807,-0.12992096283785723,-0.036629334541614676,-0.025387995126992274,-0.17169184673217044,-0.13413307869118696,0.061996980913845826,0.2056244305053134,0.12351418197848682,0.060382390736428114,0.0714402803346784,0.051536803188310915,0.9197569458320638,0.9332170704951573,0.4242720961969732,0.8271730138269993,0.8797403480917475,0.2831090402811001,0.4030999156874924,41,41,41,41,41,41,41,38,40,38,38,41,41
00000272,0.16524471738824156,0.011798873462487341,-0.21081572164039636,-0.18783845724799123,-0.21999947354173716,-0.1954344022032187,0.2935402785881687,-0.12742195153372474,-0.04545818536152334,0.10984282939414508,0.2508657171508473,0.05116064376467685,0.13616304712150873,0.30184720639221346,0.9416344540159483,0.18581544002387923,0.23957034262025784,0.1669345557983626,0.22074823344773845,0.06972323631742115,0.43331342238175546,0.7834761056435073,0.4941902011944383,0.11363463949352685,0.7507388351324756,0.39595378228439093,41,41,41,41,41,41,39,40,39,41,41,41,41
00000275,0.16306890586213674,-0.03543966738244955,-0.0689180518126721,0.1441459625270661,-0.0949971020044318,0.1507958350928591,0.163780783055472,0.17977774807666802,0.06154220353270254,-0.08409587458980256,-0.09967258683936511,-0.11326583326057205,-0.04709260989792942,0.3083459782420335,0.8258899495930903,0.6685393704106201,0.3685731406644836,0.5546506148102293,0.3466533272647197,0.3191135121344508,0.2669845934061765,0.7097590818915827,0.601147313461909,0.5352406948499961,0.4807476802902289,0.7699985186591596,41,41,41,41,41,41,39,40,39,41,41,41,41
