zettaicode,Summer_1_COD2,Summer_2_COD2,Summer_1_DOC2,Summer_2_DOC2,Summer_1_TN2,Summer_2_TN2,Summer_1_TP2,Summer_2_TP2,Summer_1_DIN2,Summer_2_DIN2,Summer_1_DIP2,Summer_2_DIP2,Summer_1_NH4N2,Summer_2_NH4N2,Summer_1_NO2N2,Summer_2_NO2N2,Summer_1_NO3N2,Summer_2_NO3N2,Summer_1_PO4P2,Summer_2_PO4P2,Summer_1_COD2_pval,Summer_2_COD2_pval,Summer_1_DOC2_pval,Summer_2_DOC2_pval,Summer_1_TN2_pval,Summer_2_TN2_pval,Summer_1_TP2_pval,Summer_2_TP2_pval,Summer_1_DIN2_pval,Summer_2_DIN2_pval,Summer_1_DIP2_pval,Summer_2_DIP2_pval,Summer_1_NH4N2_pval,Summer_2_NH4N2_pval,Summer_1_NO2N2_pval,Summer_2_NO2N2_pval,Summer_1_NO3N2_pval,Summer_2_NO3N2_pval,Summer_1_PO4P2_pval,Summer_2_PO4P2_pval,Summer_1_COD2_n,Summer_2_COD2_n,Summer_1_DOC2_n,Summer_2_DOC2_n,Summer_1_TN2_n,Summer_2_TN2_n,Summer_1_TP2_n,Summer_2_TP2_n,Summer_1_DIN2_n,Summer_2_DIN2_n,Summer_1_DIP2_n,Summer_2_DIP2_n,Summer_1_NH4N2_n,Summer_2_NH4N2_n,Summer_1_NO2N2_n,Summer_2_NO2N2_n,Summer_1_NO3N2_n,Summer_2_NO3N2_n,Summer_1_PO4P2_n,Summer_2_PO4P2_n
00000122,-0.023642841699232656,-0.017419557655411762,0.07360691440410319,-0.10592575323694702,-0.06423487149504369,-0.17127850500325525,-0.10513735879847697,-0.14996111398400488,-0.07187310908545604,-0.0639357620918372,0.14057533507557324,0.17704392845933486,-0.024635587698747585,0.03550890663073414,-0.09665075379273737,-0.15352065908544033,-0.13945085319428044,-0.1905509088777,0.14057533507557324,0.17704392845933486,0.8848617058725451,0.9150385494361091,0.6517141078852839,0.5153539545693837,0.6937422067910658,0.2906284767419242,0.5185029301789572,0.3556946377399082,0.659414302490585,0.6950993754044723,0.38693361083516636,0.2744468670621123,0.880061542455192,0.8277990994628279,0.5529929364687188,0.34425881150791127,0.3907809227089681,0.2388908755471546,0.38693361083516636,0.2744468670621123,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
00000124,-0.1799384531195048,-0.11098842315479276,0.13389098057814225,-0.14900976370984143,-0.0225003778691151,-0.10503561474510903,-0.0005444432646773134,-0.004021601074065517,0.00813547249672733,-0.0006447458823313768,0.23687795452444171,0.2502531555562118,0.05232550376724551,0.08816162589631256,-0.021354917243542763,-0.04924467606114822,-0.04591136834639545,-0.13268891180247522,0.23687795452444171,0.2502531555562118,0.2665501407007871,0.4953624721811679,0.4101287739956753,0.3587895575235164,0.8903908048223759,0.5189100066840402,0.9973397230845913,0.9803513899061085,0.9602638918615969,0.9968496233293177,0.14110756200394203,0.11936370194157558,0.748467040047169,0.5885369755529122,0.8959395487257248,0.7628367798011984,0.7784728592130034,0.4143825204814259,0.14110756200394203,0.11936370194157558,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
00000125,-0.3381869181237147,-0.15654957768955985,-0.23587718992768825,0.13444526597713452,-0.2908379416974079,-0.15311481830230023,-0.2840555637451511,0.08078895400578359,-0.15821468810041345,0.13689129393124083,0.033972902306821734,0.31747205988916294,-0.24904827265306131,0.017672986931634264,0.22140772061534983,0.238947867624798,0.08896833658318824,0.16790555249639455,0.033972902306821734,0.31747205988916294,0.03281056812122275,0.3347073272846672,0.1428447383492758,0.408175754893771,0.06865633849148292,0.34555116239983824,0.07567514272013647,0.6202026040007868,0.32952706623035055,0.39962095184446,0.8351429751203001,0.04591494258008875,0.12121237101571164,0.9138070771726691,0.16974868545938246,0.13756404341003894,0.5851161278037785,0.3003750428184982,0.8351429751203001,0.04591494258008875,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
00000128,0.012723098818077691,-0.10054436720050497,0.18082310986075997,0.11995294288079224,-0.07466719051530823,-0.12960019823123753,-0.08967758081091881,0.01961678163904368,0.07229706489419244,0.10793175233369527,0.14667049892805636,0.2959119058688551,0.12192310682586359,0.11361208889299906,0.08013241101476919,0.21329043357635533,0.005942425726428016,0.03144635778474886,0.14667049892805636,0.2959119058688551,0.9378921896681717,0.5370358483836314,0.2641669072204075,0.46096390138909665,0.6470226415372233,0.4254266507159281,0.5821159336095553,0.9043685346472387,0.6575281845239143,0.507384876568207,0.36646844282858565,0.06374945821604619,0.45357983118369394,0.48516089555483205,0.6230566753062382,0.18634894846634584,0.9709700196485602,0.8472525687670492,0.36646844282858565,0.06374945821604619,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
00000129,-0.07520459893327575,-0.14891780694482232,0.15753132528036448,-0.0430212246411838,0.003692073052757261,-0.284665108139482,0.016822693454747656,-0.09708487473754307,0.13611314502132094,0.058473685673923304,0.31339827682723703,0.2781056144253571,0.06530473665486967,0.026667084872159463,0.18684296057022398,0.1677622935735388,0.14748182914745106,0.03331296325470095,0.31339827682723703,0.2781056144253571,0.6446498564251312,0.35908956877228243,0.3316469869209045,0.7921003930960377,0.9819611122928956,0.07502224666728322,0.9179396210242976,0.5512027977871246,0.40233117348334957,0.7200440021392216,0.04893293797742417,0.08228445291012243,0.6888955771139186,0.8702521259665366,0.24832469812711258,0.3007935822381934,0.3637940964606739,0.8383025273976247,0.04893293797742417,0.08228445291012243,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
00000236,-0.2956815460576924,-0.14507258399277057,-0.18335956425643057,,0.04380612731489179,-0.019260665069765082,-0.13672900712850922,0.17542952961810462,0.20424515338209015,0.0662081448626858,0.005587545362418202,-0.011419410994864005,0.09104523956063379,0.2027543443016993,0.18770083997189235,0.20835717408551235,0.2182842948660555,-0.16658287015768058,0.005587545362418202,-0.011419410994864005,0.06052547278033271,0.3654700518917823,0.2511640173204153,,0.7856588108744768,0.9048590931136826,0.3939746128545224,0.2726003727563818,0.2002233691774454,0.6808669999546882,0.9723416552991889,0.9435084755128916,0.5713100055299687,0.20359858924605623,0.23992107292090714,0.1911176727726253,0.1703511053245306,0.29789421437708363,0.9723416552991889,0.9435084755128916,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
00000244,-0.08196502858162404,-0.18977700086145047,-0.41591650469848906,-0.18450193056482656,-0.09793110679778999,-0.10303504243614783,-0.409260731677398,-0.18784675092223438,0.013441450403523778,0.07146129611554364,-0.017068239418244393,-0.21312068916861698,-0.009604821984655697,0.04753535009630543,0.2194978598501181,0.10568574920551685,0.009335538850051754,0.022302605115674744,-0.017068239418244393,-0.21312068916861698,0.6104296376671696,0.23466668185139575,0.006839703798028562,0.24817188605650534,0.5424317042038694,0.5214882809335815,0.007884020455518243,0.23954921653235878,0.9335260959362777,0.6570474408546123,0.9156475428208894,0.1809401232391918,0.9524740251298621,0.7678955568496939,0.16792858323902043,0.5107715189120472,0.9538050226313334,0.8899186788707372,0.9156475428208894,0.1809401232391918,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
00000248,-0.0919128590233199,0.2354595858232242,-0.45535590856002905,,0.06314518241332241,0.039422202013923276,-0.16821968048173352,-0.17397641131685096,0.1334194499239606,0.03181439655385242,-0.039721938510977224,-0.15139984660288092,0.08433223550311944,0.02772410948756419,0.16074973103152956,0.07073276266684865,0.12117017100087626,0.010361814202921846,-0.039721938510977224,-0.15139984660288092,0.5676329588354054,0.13834614525464625,0.002775708291961059,,0.6948998494715183,0.8066779121804133,0.2931043706872934,0.2766549848083371,0.40562964238592614,0.8434663693287315,0.8052363382945461,0.34470268947520466,0.6001214702532578,0.8633872394509782,0.3153701006146501,0.6603315873003031,0.45045251951265386,0.9487331005101118,0.8052363382945461,0.34470268947520466,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
00000272,0.08777985706363406,0.03548083341395844,0.041585859158690563,-0.24814960057830412,0.14466001360806865,0.022463604124353168,0.03887875319367584,0.17287589414757304,0.11689974987956156,-0.27683773857959537,-0.04002850908802548,0.21015968653913028,0.12627299151806926,-0.043959821575782064,0.04017146563432,-0.42458802584312944,0.010836653424346256,-0.10204678605468862,-0.04002850908802548,0.21015968653913028,0.5852456566295839,0.8256908278780978,0.7962863159316382,0.11772932044446716,0.36684973528746906,0.8891289361682746,0.8092932203271084,0.2797518903436329,0.4666891671144313,0.07973344068390713,0.8037625539652498,0.18721994306436085,0.4314611429133965,0.7849245347790887,0.8030755442123155,0.0056597474609829754,0.9463870762766424,0.5255120342735168,0.8037625539652498,0.18721994306436085,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
00000275,-0.05101751024630408,-0.3384009778591935,0.05404225280792246,,-0.026688651351415543,-0.15327319409904316,0.11208089958067717,-0.12757816700072827,-0.09667932275976422,-0.36385539664071026,0.08593822964993472,-0.03585412586593645,-0.04904367581782215,-0.3448815918817332,-0.15438283709881886,-0.15995023951488663,-0.15580083278910847,0.16431951181898694,0.08593822964993472,-0.03585412586593645,0.751414034438339,0.030455748168912486,0.7371851519300336,,0.8684439882382683,0.3386956782540912,0.485379265250504,0.42667630296220216,0.5476290594762279,0.019358543069160256,0.5931714577169256,0.8238856908839974,0.760743594113198,0.02722538148107042,0.33516818056835274,0.3178147558824322,0.33069367718026793,0.30459984894557973,0.5931714577169256,0.8238856908839974,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
