PC,Explained_Variance,Cumulative_Variance
PC1,0.1560652622880808,0.1560652622880808
PC2,0.08856893226011066,0.24463419454819146
PC3,0.07986761110687698,0.3245018056550685
PC4,0.06347380380591494,0.3879756094609834
PC5,0.05451691834552007,0.4424925278065035
PC6,0.04741656340226856,0.4899090912087721
PC7,0.0444876308485231,0.5343967220572952
PC8,0.04130560255692656,0.5757023246142217
PC9,0.03613142022651859,0.6118337448407403
PC10,0.034166311894989025,0.6460000567357292
PC11,0.03209552683564227,0.6780955835713716
PC12,0.02798854417933129,0.7060841277507028
PC13,0.02551011464767166,0.7315942423983745
PC14,0.02364778265925949,0.7552420250576339
PC15,0.02199328461880467,0.7772353096764386
PC16,0.018524955280014684,0.7957602649564532
PC17,0.017050364616375265,0.8128106295728285
PC18,0.016913711724719924,0.8297243412975484
PC19,0.016179193756897504,0.8459035350544458
PC20,0.014199686052653,0.8601032211070988
PC21,0.013184369937880767,0.8732875910449795
PC22,0.012536405173710784,0.8858239962186903
PC23,0.011929717670836443,0.8977537138895267
PC24,0.010790629319802568,0.9085443432093293
PC25,0.010145616471292395,0.9186899596806217
PC26,0.009439520352405455,0.9281294800330272
PC27,0.008349837624524641,0.9364793176575519
PC28,0.007876434840557979,0.9443557524981099
PC29,0.007301483710020174,0.95165723620813
PC30,0.006872571608921096,0.9585298078170511
PC31,0.006285721804942528,0.9648155296219937
PC32,0.005810569085734076,0.9706260987077278
PC33,0.005300214982651997,0.9759263136903797
PC34,0.005105819713833616,0.9810321334042134
PC35,0.004507599870560282,0.9855397332747736
PC36,0.00370551304719994,0.9892452463219735
PC37,0.003083000897315734,0.9923282472192893
PC38,0.0027684762304170827,0.9950967234497063
PC39,0.002675468537973873,0.9977721919876802
PC40,0.002227808012319467,0.9999999999999997
PC41,1.5986945064488143e-30,0.9999999999999997
