Month,Station,Depth,Salinity,Temperature,Temp_surface,Station_ID,Nominal_Depth_m,lat_dd,lon_dd,Strat_index,strong_thermo,is_summer
1,1,Bottom,32.85,15.82,13.8,1,12,34.35216666666667,135.1825,-2.0199999999999996,False,False
1,2,Bottom,33.3,16.26,15.1,2,41,34.347166666666666,135.1155,-1.160000000000002,False,False
1,3,Bottom,33.34,16.34,14.1,3,46,34.347166666666666,135.03283333333334,-2.24,False,False
1,4,Bottom,33.36,16.36,15.2,4,58,34.347166666666666,134.963,-1.1600000000000001,False,False
1,5,Bottom,33.1,16.06,14.6,5,52,34.458333333333336,135.01583333333335,-1.459999999999999,False,False
1,6,Bottom,32.69,15.38,14.7,6,56,34.563,135.0585,-0.6800000000000015,False,False
1,7,Bottom,32.41,15.03,13.8,7,60,34.54416666666667,135.12616666666668,-1.2299999999999986,False,False
1,8,Bottom,32.41,15.06,13.5,8,29,34.49916666666667,135.17883333333333,-1.5600000000000005,False,False
1,9,Bottom,32.22,14.73,14.0,9,20,34.457166666666666,135.2305,-0.7300000000000004,False,False
1,10,Bottom,32.26,14.86,13.9,10,19,34.4075,135.1805,-0.9599999999999991,False,False
1,11,Bottom,31.83,13.94,14.0,11,13,34.418,135.28133333333332,0.0600000000000005,False,False
1,12,Bottom,32.15,14.68,13.9,12,18,34.506,135.2805,-0.7799999999999994,False,False
1,13,Bottom,31.92,14.54,14.6,13,13,34.543166666666664,135.37883333333335,0.0600000000000005,False,False
1,14,Bottom,32.11,14.72,13.5,14,18,34.54966666666667,135.32316666666668,-1.2200000000000006,False,False
1,15,Bottom,32.39,15.22,13.8,15,18,34.6,135.29583333333332,-1.42,False,False
1,16,Bottom,32.34,15.22,13.4,16,18,34.633833333333335,135.255,-1.8200000000000003,False,False
1,17,Bottom,32.23,15.16,14.2,17,13,34.60333333333333,135.382,-0.9600000000000009,False,False
1,18,Bottom,32.22,15.26,13.8,18,13,34.67,135.3305,-1.459999999999999,False,False
1,19,Bottom,31.86,14.21,13.9,19,13,34.47,135.3305,-0.3100000000000005,False,False
