連番,Year,Season,S,N,Shannon,Simpson,Margalef,Pielou,lat_dd,lon_dd,sea_area,do_station,env_dist_km,env_zettaicode,is_hypoxic_station,is_stressed_station
12.0,2003.0,Summer,19,322.0,1.7895016162146782,0.7336908298290961,3.1171251755278964,0.6077563939604139,35.608333333333334,139.8983333333333,100.0,8.3,0.47768825343837323,1212,False,False
2.0,2003.0,Summer,10,100.0,1.224411121691796,0.5469999999999999,1.954325168564633,0.5317549937317179,35.64388888888889,139.9933333333333,100.0,9.0,0.47760326398872804,122,False,False
26.0,2003.0,Summer,7,19.0,1.3827187230197877,0.6260387811634349,2.0377396313706515,0.7105768597234874,35.46416666666667,139.85611111111112,100.0,1.3,0.47802883737174107,1326,True,True
32.0,2003.0,Summer,4,5.0,1.3321790402101223,0.72,1.8640048036788357,0.9609640474436812,35.4575,139.7513888888889,100.0,2.3,0.478043080113602,1432,False,True
4.0,2003.0,Summer,15,225.0,1.219274439797606,0.5884049382716048,2.5848856114819854,0.4502407079829414,35.60166666666667,140.06416666666667,100.0,4.4,0.4777057070374204,124,False,False
12.0,2004.0,Summer,2,17.0,0.2237180760658337,0.1107266435986158,0.3529561238647611,0.3227569588973983,35.608333333333334,139.8983333333333,100.0,4.8,0.47768825343837323,1212,False,False
18.0,2004.0,Summer,1,1.0,-0.0,0.0,,,35.559999999999995,139.82444444444445,100.0,1.5,0.4778031123314523,1318,True,True
2.0,2004.0,Summer,2,65.0,0.079487003203037,0.0302958579881655,0.2395561157470185,0.1146755053361467,35.64388888888889,139.9933333333333,100.0,7.9,0.47760326398872804,122,False,False
26.0,2004.0,Summer,16,292.0,0.9919015112737858,0.3912084818915368,2.6423552125875878,0.3577528478412398,35.46416666666667,139.85611111111112,100.0,2.3,0.47802883737174107,1326,False,True
32.0,2004.0,Summer,1,2.0,-0.0,0.0,,,35.4575,139.7513888888889,100.0,2.2,0.478043080113602,1432,False,True
4.0,2004.0,Summer,5,21.0,0.7509687782493434,0.3356009070294784,1.3138349550122044,0.4666031366898674,35.60166666666667,140.06416666666667,100.0,7.6,0.4777057070374204,124,False,False
12.0,2005.0,Summer,11,130.0,1.3633378581169182,0.6586982248520711,2.054428191887587,0.5685560472897082,35.608333333333334,139.8983333333333,100.0,6.5,0.47768825343837323,1212,False,False
15.0,2005.0,Summer,4,17.0,0.6598720137848266,0.3114186851211071,1.0588683715942837,0.4759970409543915,35.551111111111105,139.9088888888889,100.0,0.0,0.4778209472003837,1215,True,True
2.0,2005.0,Summer,11,169.0,1.176660585136246,0.5848534715171038,1.9493562262564004,0.4907055777140216,35.64388888888889,139.9933333333333,100.0,6.0,0.47760326398872804,122,False,False
26.0,2005.0,Summer,7,7.0,1.945910149055313,0.8571428571428572,3.0833900542185044,1.0,35.46416666666667,139.85611111111112,100.0,2.0,0.47802883737174107,1326,True,True
4.0,2005.0,Summer,9,45.0,1.1572999329634177,0.4799999999999998,2.1015784881109045,0.5267098979779559,35.60166666666667,140.06416666666667,100.0,7.5,0.4777057070374204,124,False,False
10.0,2007.0,Summer,19,59.0,2.694196524629052,0.9192760700948004,4.414429112576947,0.9150118388229492,34.93333333333333,136.805,201.0,6.5,0.4636454643681527,2310,False,False
11.0,2007.0,Summer,16,107.0,1.8925076520946,0.7520307450432352,3.210046961141753,0.6825778511303238,34.88638888888889,136.66666666666666,201.0,4.6,0.46373887583859613,2411,False,False
12.0,2007.0,Summer,5,500.0,0.2635958602813537,0.1036720000000001,0.64364476997601,0.1637813165980995,35.608333333333334,139.8983333333333,100.0,6.5,254.34258009929397,2355,False,False
143.0,2007.0,Summer,8,14.0,1.90853528164356,0.826530612244898,2.652462271829658,0.9178114620629284,34.60333333333333,134.61388888888888,305.0,5.4,1.082385399248306e-06,28143,False,False
18.0,2007.0,Summer,1,2.0,-0.0,0.0,,,35.559999999999995,139.82444444444445,100.0,6.5,246.24098979908203,2355,False,False
181.0,2007.0,Summer,17,37.0,2.555001327493613,0.8984660336011687,4.431006294541718,0.9018033650214649,34.282222222222224,134.3538888888889,306.0,6.5,1.050338266185614e-06,37181,False,False
2.0,2007.0,Summer,2,3.0,0.6365141682948128,0.4444444444444444,0.9102392266268372,0.9182958340544894,35.64388888888889,139.9933333333333,100.0,6.5,263.76389324452344,2355,False,False
23.0,2007.0,Summer,5,7.0,1.5498260458782016,0.7755102040816326,2.055593369479003,0.9629610647945144,34.656666666666666,135.275,301.0,2.2,1.0330380410700952,2823,False,True
254.0,2007.0,Summer,23,443.0,1.734415673241477,0.7017615376384083,3.610363191071995,0.5531554370058096,34.11138888888889,133.6275,310.0,7.7,1.2354992871652025e-07,37254,False,False
26.0,2007.0,Summer,5,30.0,1.0833071279684077,0.5511111111111111,1.1760564151808242,0.6730965634642117,35.46416666666667,139.85611111111112,100.0,6.5,245.65686195169067,2355,False,False
27.0,2007.0,Summer,1,2.0,-0.0,0.0,,,34.666666666666664,136.60027777777776,201.0,0.7,0.44935052538878156,2427,True,True
274.0,2007.0,Summer,12,53.0,1.2314287838313274,0.4756140975436099,2.770577136268696,0.4955633983016572,34.05333333333333,133.5,310.0,5.8,0.4363776020606364,38274,False,False
313.0,2007.0,Summer,20,130.0,1.9065746574464164,0.7436686390532544,3.903413564586415,0.6364302558935112,34.38666666666666,133.24749999999997,309.0,7.3,0.8064028823357108,34312,False,False
32.0,2007.0,Summer,9,32.0,1.72895146475812,0.767578125,2.308312065422341,0.7868797220783843,35.4575,139.7513888888889,100.0,6.5,236.3724611201976,2355,False,False
328.0,2007.0,Summer,18,130.0,1.0160061263658091,0.3558579881656804,3.492527926208897,0.3515139959384798,34.0,133.17499999999998,310.0,5.9,0.43645341499102913,38328,False,False
35.0,2007.0,Summer,23,87.0,2.738154818688084,0.9023649094992734,4.926209723864136,0.8732769477862612,35.34805555555556,139.80583333333334,100.0,6.5,237.81721530664063,2355,False,False
396.0,2007.0,Summer,18,47.0,2.549498015229675,0.8936170212765957,4.415415136928616,0.8820657786545065,34.333333333333336,132.45583333333332,312.0,4.1,3.083075573419973e-06,34396,False,False
4.0,2007.0,Summer,4,20.0,0.8260651866153443,0.415,1.0014246020860025,0.5958800740904867,35.60166666666667,140.06416666666667,100.0,6.5,268.2471184074217,2355,False,False
410.0,2007.0,Summer,11,21.0,2.13650705762401,0.8480725623582767,3.2845873875305105,0.8909926475357208,34.30305555555555,132.35305555555556,312.0,3.1,1.4739665288236428,34411,False,True
426.0,2007.0,Summer,4,5.0,1.3321790402101223,0.72,1.8640048036788357,0.9609640474436812,33.99666666666667,132.29222222222222,312.0,7.2,2.081891068016308e-06,35426,False,False
44.0,2007.0,Summer,21,161.0,1.211194117348542,0.4123297712279619,3.9359197897766895,0.3978272921694171,34.436388888888885,135.14,301.0,6.6,0.4497499003868794,2744,False,False
550.0,2007.0,Summer,12,141.0,1.9705330940839,0.8239022181982798,2.2227790888354084,0.7930008534735161,34.03805555555555,131.70083333333332,315.0,7.4,3.110951984571743e-06,35550,False,False
59.0,2007.0,Summer,2,2.0,0.6931471805599453,0.5,1.4426950408889634,1.0,34.72,137.12166666666667,202.0,4.9,0.4640774576398907,2359,False,False
598.0,2007.0,Summer,2,3.0,0.6365141682948128,0.4444444444444444,0.9102392266268372,0.9182958340544894,33.78333333333333,131.32527777777779,316.0,7.6,2.08693947347891e-06,35598,False,False
61.0,2007.0,Summer,4,4.0,1.3862943611198906,0.75,2.1640425613334453,1.0,34.75,137.3,202.0,4.8,1.104548288568557,2361,False,False
617.0,2007.0,Summer,2,3.0,0.6365141682948128,0.4444444444444444,0.9102392266268372,0.9182958340544894,33.635,131.13333333333333,316.0,4.7,0.4369762901227268,40617,False,False
79.0,2007.0,Summer,15,59.0,2.084306448403034,0.8124102269462798,3.4334448653376257,0.7696705354851603,34.11277777777778,135.00833333333333,303.0,6.5,3.078671416947404e-06,3079,False,False
10.0,2008.0,Summer,28,64.0,3.036573252967649,0.935546875,6.492127684000336,0.9112805782763884,34.93333333333333,136.805,201.0,2.4,0.4636454643681527,2310,False,True
11.0,2008.0,Summer,15,146.0,2.135302457474864,0.8543816851191594,2.809210490052869,0.7885017997841285,34.88638888888889,136.66666666666666,201.0,3.3,0.46373887583859613,2411,False,True
12.0,2008.0,Summer,4,107.0,0.5537155777342497,0.2667481876146389,0.6420093922283506,0.3994213590300847,35.608333333333334,139.8983333333333,100.0,5.7,0.47768825343837323,1212,False,False
143.0,2008.0,Summer,14,29.0,2.4416083837896,0.896551724137931,3.860664656853811,0.9251820172264148,34.60333333333333,134.61388888888888,305.0,5.8,1.082385399248306e-06,28143,False,False
