Diversity,EnvVar,r,p,n
Shannon,do_station,0.003,0.9125,1229
Shannon,mean_TOC,-0.108,0.0002,1229
Shannon,mean_sulfide,-0.201,0.0,1229
Shannon,mean_ORP,-0.06,0.0357,1229
Shannon,mean_COD,-0.141,0.0,1229
Simpson,do_station,0.01,0.7298,1229
Simpson,mean_TOC,-0.1,0.0004,1229
Simpson,mean_sulfide,-0.193,0.0,1229
Simpson,mean_ORP,-0.053,0.0635,1229
Simpson,mean_COD,-0.135,0.0,1229
Margalef,do_station,-0.023,0.4452,1152
Margalef,mean_TOC,-0.113,0.0001,1152
Margalef,mean_sulfide,-0.169,0.0,1152
Margalef,mean_ORP,-0.058,0.0501,1152
Margalef,mean_COD,-0.113,0.0001,1152
Pielou,do_station,0.037,0.2101,1152
Pielou,mean_TOC,-0.013,0.6623,1152
Pielou,mean_sulfide,-0.055,0.0619,1152
Pielou,mean_ORP,0.002,0.9363,1152
Pielou,mean_COD,-0.027,0.3549,1152
