Diversity,EnvVar,r,p,n
Shannon,do_station,0.16,0.0564,142
Shannon,mean_TOC,-0.048,0.5673,142
Shannon,mean_sulfide,0.115,0.1724,142
Shannon,mean_ORP,0.108,0.2011,142
Shannon,mean_COD,0.065,0.4413,142
Simpson,do_station,0.201,0.0166,142
Simpson,mean_TOC,-0.042,0.619,142
Simpson,mean_sulfide,0.06,0.4806,142
Simpson,mean_ORP,0.13,0.1221,142
Simpson,mean_COD,0.031,0.7136,142
Margalef,do_station,0.083,0.3842,113
Margalef,mean_TOC,-0.057,0.5502,113
Margalef,mean_sulfide,0.13,0.1685,113
Margalef,mean_ORP,0.056,0.5542,113
Margalef,mean_COD,0.065,0.4932,113
Pielou,do_station,0.37,0.0001,113
Pielou,mean_TOC,-0.039,0.6834,113
Pielou,mean_sulfide,-0.105,0.2676,113
Pielou,mean_ORP,0.162,0.0864,113
Pielou,mean_COD,-0.108,0.2545,113
