Season,Subset,Variable,n_stations,n_pairs,Mantel_r,p_value,Significance
Summer,All,DO,3494,170236,0.1845,0.001,**
Summer,All,TOC,447,99681,0.0993,0.001,**
Summer,All,Sulfides,446,99235,0.1191,0.001,**
Summer,All,ORP,427,90951,0.006,0.756,ns
Summer,All,COD,447,99681,0.0479,0.01,*
Summer,All,LOI,447,99681,0.0569,0.002,**
Summer,All,Clay%,447,99681,0.0323,0.076,ns
Summer,"Stressed(DO≤4,n=132)",DO,132,8646,0.045,0.063,ns
Summer,"Stressed(DO≤4,n=132)",TOC,128,8128,0.0549,0.205,ns
Summer,"Stressed(DO≤4,n=132)",Sulfides,128,8128,0.0993,0.014,*
Summer,"Stressed(DO≤4,n=132)",ORP,117,6786,-0.005,0.865,ns
Summer,"Stressed(DO≤4,n=132)",COD,128,8128,0.021,0.51,ns
Summer,"Stressed(DO≤4,n=132)",LOI,128,8128,0.0052,0.9,ns
Summer,"Stressed(DO≤4,n=132)",Clay%,128,8128,0.0371,0.426,ns
Winter,All,DO,4313,208981,0.0727,0.001,**
Winter,All,TOC,478,114003,0.0441,0.003,**
Winter,All,Sulfides,476,113050,0.0205,0.311,ns
Winter,All,ORP,465,107880,0.0556,0.002,**
Winter,All,COD,478,114003,-0.0092,0.556,ns
Winter,All,LOI,478,114003,0.022,0.166,ns
Winter,All,Clay%,478,114003,0.0992,0.001,**
