連番,Year,renban_num,do_station,TOC,Sulfides,ORP,COD,LOI,Clay_pct,Depth_m
1,2009.0,1.0,5.469101123595506,,,,,,,
10,2007.0,10.0,6.5,2.1,0.03,30.0,1.9,1.1,1.5,9.5
10,2008.0,10.0,2.4,4.9,0.03,-100.0,2.6,1.7,2.2,8.0
10,2009.0,10.0,5.0,4.0,0.03,-90.0,5.9,2.8,10.3,6.5
10,2011.0,10.0,7.8,14.0,0.07,-100.0,10.0,3.4,13.5,7.5
10,2012.0,10.0,5.4,2.5,0.03,-40.0,1.6,1.2,1.2,10.9
10,2013.0,10.0,8.3,5.4,0.01,-220.0,2.5,1.7,2.2,7.8
10,2014.0,10.0,7.5,3.1,0.01,80.0,6.0,1.7,22.1,6.0
10,2016.0,10.0,4.8,4.9,0.04,-160.0,3.0,1.5,3.1,7.1
10,2017.0,10.0,6.9,4.0,0.03,-320.0,1.6,1.9,0.8,6.4
10,2018.0,10.0,5.3,3.2,0.02,-83.0,1.8,2.0,9.2,7.1
10,2019.0,10.0,6.3,3.0,0.3,-130.0,1.5,1.5,2.9,7.1
10,2020.0,10.0,6.5,3.2,0.04,-20.0,1.5,2.3,6.3,5.5
10,2021.0,10.0,4.5,4.3,0.03,-130.0,2.8,2.4,1.8,8.5
10,2022.0,10.0,5.1,2.1,0.01,3.0,1.4,1.4,0.9,6.9
10,2023.0,10.0,5.7,5.1,0.01,100.0,1.4,1.9,1.3,7.8
11,2007.0,11.0,4.6,16.0,0.34,-337.0,13.0,12.0,93.7,13.8
11,2008.0,11.0,3.3,18.0,0.36,-313.8,15.0,18.0,96.8,13.0
11,2009.0,11.0,0.7,17.0,0.25,-138.0,14.0,10.0,96.0,14.9
11,2010.0,11.0,3.3,14.0,0.2,,17.0,9.1,97.1,12.6
11,2011.0,11.0,5.4,14.0,0.19,-340.0,10.0,10.0,93.7,13.3
11,2012.0,11.0,4.2,18.0,0.54,-330.0,15.0,10.0,95.2,12.5
11,2013.0,11.0,5.2,20.0,0.5,-290.0,14.0,10.0,97.4,14.1
11,2014.0,11.0,1.8,15.0,0.3,-340.0,14.0,17.0,97.5,14.7
11,2015.0,11.0,4.4,14.0,0.45,-320.0,15.0,9.7,96.2,15.0
11,2016.0,11.0,4.8,16.6,0.53,-350.0,14.3,9.2,86.6,15.2
