Model,Feature,Importance,AUC,Accuracy,F1_macro
Binary(hypoxia),Sulfides,0.1986597824319414,0.6672363860798557,,
Binary(hypoxia),LOI,0.1834630626138178,0.6672363860798557,,
Binary(hypoxia),Depth_m,0.14346521962098038,0.6672363860798557,,
Binary(hypoxia),TOC,0.14302290368215417,0.6672363860798557,,
Binary(hypoxia),ORP,0.13079334322947228,0.6672363860798557,,
Binary(hypoxia),COD,0.1032656968370312,0.6672363860798557,,
Binary(hypoxia),Clay_pct,0.09732999158460265,0.6672363860798557,,
3class(stress),Depth_m,0.12447994316148958,,0.7163461538461539,0.45120530948209864
3class(stress),Sulfides,0.12299283905251243,,0.7163461538461539,0.45120530948209864
3class(stress),LOI,0.12040417471067885,,0.7163461538461539,0.45120530948209864
3class(stress),ORP,0.119199639523841,,0.7163461538461539,0.45120530948209864
3class(stress),TOC,0.10065466746238369,,0.7163461538461539,0.45120530948209864
3class(stress),lon_dd,0.09031414224324086,,0.7163461538461539,0.45120530948209864
3class(stress),lat_dd,0.08395807558765471,,0.7163461538461539,0.45120530948209864
3class(stress),Clay_pct,0.08297252033300519,,0.7163461538461539,0.45120530948209864
3class(stress),Year,0.0795157269949207,,0.7163461538461539,0.45120530948209864
3class(stress),COD,0.07550827093027293,,0.7163461538461539,0.45120530948209864
