Category,Metric,Lai et al. (2024) — Pearl River Estuary,This study — Seto Inland Sea
Study system,Location,"South China Sea, subtropical","Inland Sea of Japan, temperate"
Study system,Area (km²),"~2,300 (estuary zone)","~23,000"
Study system,Study period,2011–2022,1991–2024
Study system,Hypoxia season,Summer (Jun–Sep),Summer (Jun–Sep)
Hypoxia,Summer mean bottom DO (mg/L),~2.1 (hypoxic zone),5.39 (station-level)
Hypoxia,% station-obs hypoxic (DO≤2),~45%,10.6%
Hypoxia,% station-obs stressed (DO≤4),~70%,22.6%
Hypoxia,Bottom DO trend (Sen's slope/yr),Not reported,"+0.1068 mg/L/yr (τ=+0.538, ***)"
Sediment trends (SIS),TOC trend (Sen's slope/yr),Not directly reported,"-0.030825/yr (τ=-0.068, ns)"
Sediment trends (SIS),Sulfides trend (Sen's slope/yr),Not directly reported,"-0.016035/yr (τ=-0.348, **)"
Sediment trends (SIS),COD trend (Sen's slope/yr),Not directly reported,"-0.305494/yr (τ=-0.295, *)"
Sediment trends (SIS),ORP trend (Sen's slope/yr),Not directly reported,"+3.489974/yr (τ=+0.250, *)"
"Mantel test (Summer, All stations)",Bray-Curtis ~ Bottom DO (Mantel r),+0.31***,+0.1845 (**)
"Mantel test (Summer, All stations)",Bray-Curtis ~ TOC (Mantel r),+0.18**,+0.0993 (**)
"Mantel test (Summer, All stations)",Bray-Curtis ~ Sulfides (Mantel r),+0.14*,+0.1191 (**)
"Mantel test (Summer, All stations)",Bray-Curtis ~ ORP (Mantel r),–0.09ns,+0.0060 (ns)
Diversity–DO,"Shannon H' ~ DO, all stations (Spearman r)",+0.42***,+0.108 (**) ⚠ confounded by spatial noise
Diversity–DO,"Shannon H' ~ DO, stressed only (Spearman r)",+0.42*** (likely stressed subset),+0.295 (***) n=131 — interpretable signal
Diversity–DO,"Pielou evenness ~ DO, stressed subset (Spearman r)",Not reported,+0.370 (***) — strongest individual signal
Machine learning,Binary hypoxia classifier AUC (sediment → DO≤2),Not reported,0.667 (sediment chem partially encodes DO history)
Machine learning,3-class classifier: argmax accuracy (dead recall=0.22),Not reported,70.4% (vs 33% random); F1-macro=0.44; ⚠ dead recall=22% before threshold fix
Machine learning,3-class: threshold-adjusted (dead recall=0.37),Not reported,Dead recall 22%→37% (thr tuned on val 2011-2017); Healthy F1=0.81
Machine learning,Residual dead-zone miss rate (63%): interpretation,Not applicable,Temporal covariate shift: post-2018 sediment chem improved (MK Sulfides ↓**) → dead-zone fingerprint has weakened; sediment lags water-column DO recovery
Machine learning,Top MDI feature (3-class): ecological meaning,DO (direct),Depth_m (0.175): deeper stations → stratification → hypoxia risk
Machine learning,Top feature: hypoxia classifier,DO (direct measurement),Sulfides
Machine learning,Top feature: diversity regressor,DO (direct measurement),Depth_m
Clustering,Hiroshima K (silhouette=0.409),3,K=3 (acceptable separation ≥0.35)
Clustering,Osaka K (silhouette=0.368),Not comparable,K=6 ⚠ borderline; clusters weakly separated
Clustering,SIS sediment K (silhouette=0.276),Not comparable,K=3 ⚠ WEAK separation (<0.30); interpret cautiously
Clustering,Cluster 0 descriptor (Hiroshima),"Hypoxic core (DO<2, high nutrients)","Lowest DO, highest summer stratification"
